N	3gram	Trubetskoy_1	Poddanst
1	в то же	2	7
2	то же время	2	7
3	в том что	3	4
4	с точки зрения	6	3
5	сами по себе	1	3
6	с одной стороны	7	3
7	в том числе	5	2
8	и в то	1	2
9	заключает в себе	2	2
10	в значительной мере	2	2
11	в том виде	2	1
12	есть не более	1	1
13	что в этом	1	1
14	весьма вероятно что	1	1
15	а с тем	1	1
16	есть как бы	2	1
17	чуть ли не	1	1
18	более или менее	5	1
19	в настоящее время	1	1
20	и в этом	2	1
21	в эту эпоху	1	1
22	в отличие от	1	1
23	поскольку они являются	1	1
24	с тем чтобы	4	1
25	совершенно ясно что	1	1
26	вместе с тем	8	1
27	в области отношения	1	1
28	что все существующее	1	1
29	так же как	3	1
30	все существующее в	1	1
31	по сравнению с	2	1
32	но в общем	1	1
33	не только как	1	1
34	не в том	1	1
35	во всяком случае	6	1
36	существующее в мире	1	1
37	иначе как на	1	1
38	с другой стороны	1	1
39	не может быть	1	1
40	сливаются в одно	1	1
41	как бы часть	1	1
42	сам как бы	1	1
43	сменяют друг друга	1	1
44	тем и другим	1	1
45	ни к чему	1	1
46	но в то	1	1
47	именно потому что	1	1
48	в области религиозной	1	1
49	не более как	1	1
50	то что от	1	1
51	на пути к	2	1
52	области отношения к	1	1
53	друг с другом	5	1
54	ни на какие	1	1
55	для того чтобы	5	1
56	том числе и	4	1
