N	2gram	Berdyaev_M_1	Stilisti
1	и в	28	42
2	не только	29	27
3	как бы	2	27
4	прежде всего	10	22
5	хотя бы	3	17
6	но и	25	15
7	и не	11	14
8	не может	28	12
9	может быть	30	12
10	мы уже	1	11
11	как и	5	11
12	точки зрения	4	11
13	в этом	20	10
14	и как	2	10
15	что мы	1	10
16	мы не	1	9
17	в то	2	9
18	для того	2	9
19	то что	5	9
20	в ней	15	8
21	все же	2	8
22	в себе	7	8
23	и это	12	8
24	с тем	9	8
25	эти слова	2	8
26	что же	1	8
27	в зависимости	1	7
28	зависимости от	1	7
29	и на	6	7
30	в которой	6	7
31	было бы	10	7
32	так как	3	7
33	никогда не	14	7
34	потому что	16	7
35	того чтобы	2	7
36	ничего не	3	7
37	с его	3	7
38	только в	6	7
39	и его	9	7
40	а не	25	7
41	и от	2	7
42	во всех	1	6
43	точку зрения	1	6
44	в этой	6	6
45	но ведь	1	6
46	в нем	13	6
47	не в	16	6
48	в области	1	6
49	когда мы	2	6
50	так и	1	6
51	в конце	7	6
52	в свою	2	6
53	уже в	4	5
54	в той	2	5
55	и наконец	1	5
56	и с	3	5
57	а в	4	5
58	в его	9	5
59	и их	3	5
60	точек зрения	1	5
61	вместе с	6	5
62	своей жизни	1	5
63	и то	1	4
64	самом деле	1	4
65	себя в	3	4
66	и к	2	4
67	но в	7	4
68	в самом	11	4
69	уже не	4	4
70	можно было	1	4
71	в каждом	1	4
72	его в	3	4
73	и без	1	4
74	у нас	5	4
75	всего в	2	4
76	к тому	3	4
77	на это	1	4
78	было в	1	4
79	если бы	2	4
80	о том	2	4
81	влияние на	1	4
82	во внутренней	1	4
83	все время	1	4
84	того что	7	4
85	один из	4	4
86	мы видим	2	4
87	мы увидим	3	4
88	в обществе	1	4
89	о своей	2	4
90	связаны с	1	4
91	то есть	3	4
92	не что	1	4
93	все это	6	4
94	не существует	2	4
95	бы в	2	4
96	человека не	4	4
97	так же	1	4
98	долгое время	2	3
99	вряд ли	3	3
100	отношения к	4	3
101	на самом	1	3
102	которое может	1	3
103	еще не	1	3
104	то он	1	3
105	ответ на	1	3
106	нет и	5	3
107	та же	1	3
108	если он	5	3
109	не к	4	3
110	и вот	3	3
111	заключает в	3	3
112	об этом	1	3
113	лишь в	6	3
114	это не	5	3
115	не мог	3	3
116	том что	3	3
117	что такое	1	3
118	в разных	1	3
119	может показаться	1	3
120	да и	1	3
121	в виду	2	3
122	в ее	3	3
123	роль в	1	3
124	и поэтому	1	3
125	то мы	1	3
126	жизни и	2	3
127	конечно не	3	3
128	его и	1	3
129	не так	3	3
