N	3gram	Vinokur_Ku_1	Mirosoze
1	не может быть	3	17
2	вместе с тем	3	5
3	и вместе с	1	4
4	в братьях карамазовых	1	3
5	мы увидим что	2	3
6	и в самом	2	3
7	с тем что	1	3
8	одно из самых	1	2
9	хотя бы и	2	2
10	в дневнике писателя	1	2
11	по отношению к	8	2
12	том основании что	1	2
13	на том основании	1	2
14	не только в	1	2
15	для того чтобы	15	2
16	не есть уже	1	2
17	к тому чтобы	1	2
18	это не значит	1	2
19	до сих пор	4	2
20	в том смысле	1	2
21	о том что	5	1
22	том смысле что	1	1
23	трудно было бы	2	1
24	начале xix века	1	1
25	в иных случаях	2	1
26	что иное как	1	1
27	когда мы говорим	1	1
28	до конца и	1	1
29	потому что не	2	1
30	и т п	18	1
31	а вовсе не	1	1
32	к которому он	1	1
33	между тем как	1	1
34	что и в	1	1
35	имеем в виду	1	1
36	у самого себя	1	1
37	все это не	3	1
38	и мы увидим	1	1
39	том случае если	1	1
40	в том что	15	1
41	но и с	1	1
42	был бы уже	1	1
43	в начале xix	1	1
44	лишь в том	1	1
45	в ней все	1	1
46	я и хочу	1	1
47	но в нем	1	1
48	свои силы в	1	1
49	и ничего не	1	1
50	в отличие от	1	1
51	но не менее	1	1
52	не что иное	1	1
53	в том случае	1	1
54	мы имеем в	1	1
55	от того что	1	1
56	он должен быть	1	1
57	в самом деле	7	1
58	по сравнению со	1	1
59	в зависимости от	5	1
60	потому что он	1	1
61	она все же	1	1
62	может уже быть	1	1
63	это потому что	1	1
64	в наше время	1	1
65	в себе и	1	1
66	на том что	1	1
67	не может уже	1	1
68	шаг вперед в	1	1
69	так и не	1	1
70	или нет в	1	1
71	не в том	4	1
72	во всех этих	1	1
73	во всяком случае	5	1
74	как и всякая	1	1
75	и в смысле	1	1
76	в них не	1	1
77	можно было бы	3	1
