N	2gram	Medvedev_U_1	Morfolog
1	может быть	6	52
2	таким образом	2	20
3	не может	7	17
4	могут быть	2	15
5	и в	14	13
6	в этом	7	13
7	и др	1	12
8	то же	5	9
9	мы имеем	1	9
10	так и	1	9
11	этом случае	1	9
12	прежде всего	8	9
13	а не	10	9
14	и не	8	9
15	что и	2	8
16	с другой	4	8
17	по существу	2	8
18	имеем в	1	7
19	в качестве	1	7
20	все же	3	7
21	но если	1	7
22	но не	2	6
23	это не	3	6
24	не могут	2	6
25	в том	2	6
26	мы не	2	5
27	не все	2	5
28	то что	7	5
29	далеко не	1	5
30	сюда же	1	5
31	не только	10	4
32	на его	1	4
33	об этом	1	4
34	было бы	3	4
35	как и	3	4
36	ничего не	2	4
37	тем что	2	4
38	очень часто	1	4
39	в некоторых	2	4
40	другой стороны	3	4
41	что в	1	4
42	самом деле	2	3
43	и для	2	3
44	независимо от	1	3
45	как таковое	1	3
46	но в	3	3
47	в пределах	1	3
48	входит в	1	3
49	и вне	1	3
50	том что	2	3
51	в то	3	3
52	если бы	2	3
53	но и	4	3
54	он не	1	3
55	мы можем	1	3
56	из которых	1	3
57	форма в	1	3
58	но это	2	3
59	это уже	2	3
60	же в	1	3
61	относятся к	1	2
62	мы получаем	2	2
63	как таковая	1	2
64	первый взгляд	1	2
65	специфическая форма	1	2
66	более или	1	2
67	не значит	1	2
68	это было	2	2
69	этого не	1	2
70	с тем	1	2
71	на первый	2	2
72	или менее	1	2
73	для него	3	2
74	что такое	4	2
75	и что	1	2
76	является в	2	2
77	о том	1	2
78	с одной	1	2
79	можно сказать	1	2
80	в различных	1	2
81	и только	5	2
82	того что	1	2
83	хотя бы	5	2
84	функции как	1	2
85	что он	2	2
86	только в	2	2
87	уже не	1	2
88	вопроса о	2	2
89	в виде	1	2
90	или просто	1	2
91	его и	2	2
92	сказать что	1	2
93	что мы	2	2
94	в частности	3	2
95	или по	1	2
96	одной стороны	1	2
97	но для	1	2
98	случае он	1	2
99	не существует	1	2
100	в свое	1	2
101	к этому	1	2
102	и то	3	1
103	он может	1	1
104	как такового	3	1
105	свое место	1	1
106	она все	1	1
107	противном случае	2	1
108	и простое	1	1
109	их и	2	1
110	она в	1	1
111	не вполне	1	1
112	в виду	1	1
113	затем он	1	1
114	он был	1	1
115	не то	1	1
116	не входит	1	1
117	оно является	1	1
118	о необходимости	1	1
119	более чем	2	1
120	метод и	1	1
121	для всех	2	1
122	в противном	2	1
123	от вопроса	1	1
124	в этот	1	1
125	в которой	1	1
126	формы в	3	1
127	пока для	1	1
128	не в	2	1
129	в этой	4	1
130	подобным образом	1	1
131	на то	1	1
132	но прежде	1	1
133	что она	2	1
134	слова а	1	1
135	всех этих	2	1
136	в россии	4	1
137	и независимо	1	1
138	по его	1	1
139	то ни	3	1
140	связанные с	1	1
141	в итоге	2	1
142	из первых	1	1
143	как таковой	2	1
144	или точнее	3	1
145	в их	4	1
146	не столько	2	1
147	для изучения	1	1
148	наука о	1	1
149	но он	1	1
150	все это	5	1
151	имеет свою	1	1
152	она не	1	1
153	задачи и	1	1
154	точно и	1	1
155	принципов и	1	1
156	что с	1	1
157	что ему	1	1
158	того как	1	1
159	больше чем	1	1
160	же время	3	1
161	как на	1	1
162	у кого	1	1
163	и делает	1	1
164	с другом	1	1
165	одним из	2	1
166	у нас	3	1
167	он называет	1	1
168	исходить из	1	1
169	не есть	2	1
170	что при	1	1
171	не делает	1	1
172	же не	2	1
173	данном случае	1	1
174	приводит к	1	1
175	что такой	1	1
176	и с	2	1
177	этих функций	1	1
178	наталкиваемся на	1	1
179	функция а	1	1
180	бы то	3	1
181	их в	1	1
182	в его	2	1
183	которой все	1	1
184	приемов и	2	1
185	и действительно	1	1
186	верно и	1	1
187	все они	2	1
188	и у	2	1
189	она строится	1	1
190	у него	1	1
191	и материал	1	1
192	существенным для	1	1
193	и даже	1	1
194	даже не	1	1
195	до сих	2	1
196	самыми разнообразными	1	1
197	о чем	2	1
198	ссылка на	1	1
199	то сколько	1	1
200	надо было	2	1
201	но такое	1	1
202	в данном	1	1
203	в течение	1	1
204	как таковыми	1	1
205	в отдельности	1	1
206	друг с	1	1
207	это значит	1	1
208	делает и	1	1
209	к следующему	1	1
210	быть не	1	1
211	что же	1	1
212	для тех	1	1
213	думает о	1	1
214	еще раз	1	1
215	сих пор	2	1
216	только для	1	1
217	пришлось бы	3	1
218	же самое	2	1
219	оно по	1	1
220	могли бы	2	1
221	и все	1	1
222	бы в	1	1
223	формы является	1	1
224	состоит из	1	1
225	равно как	1	1
226	материал и	1	1
227	на своем	1	1
228	часто встречается	1	1
229	в таком	1	1
