N	3gram	Propp_Morf_1	Tragedij
1	точно так же	1	2
2	в данном случае	1	2
3	бросается в глаза	1	2
4	о том что	1	2
5	но все же	3	2
6	в том что	3	2
7	в этом случае	8	1
8	в обоих случаях	2	1
9	том что он	1	1
10	в третий раз	1	1
11	во всяком случае	2	1
12	в высшей степени	1	1
13	в чем же	1	1
14	обстоит дело с	1	1
15	тем не менее	4	1
16	не могут быть	2	1
17	в связи с	8	1
18	то что он	1	1
19	она все же	1	1
20	вместо того чтобы	1	1
21	не может быть	9	1
22	это мы видим	1	1
23	с того что	2	1
24	с самого начала	1	1
25	после того как	1	1
26	к тому что	3	1
27	как и в	2	1
