N	2gram	Berdyaev_M_1	UchenyiS
1	и в	28	14
2	а не	25	10
3	не только	29	10
4	прежде всего	10	8
5	и не	11	8
6	не может	28	7
7	в этом	20	7
8	то что	5	7
9	может быть	30	6
10	в искусстве	1	6
11	и только	1	5
12	все это	6	5
13	хотя бы	3	5
14	но и	25	4
15	что такое	1	4
16	в их	4	4
17	в россии	2	4
18	в этой	6	4
19	конечно не	3	4
20	вряд ли	3	3
21	и то	1	3
22	это не	5	3
23	было бы	10	3
24	как и	5	3
25	в частности	1	3
26	в своей	15	3
27	произведения искусства	1	3
28	в то	2	3
29	все же	2	3
30	но в	7	3
31	в области	1	3
32	у нас	5	3
33	для него	11	3
34	не как	4	3
35	же не	1	2
36	одним из	2	2
37	и с	3	2
38	и через	1	2
39	до сих	2	2
40	а как	2	2
41	это было	1	2
42	самом деле	1	2
43	пишет он	2	2
44	должна быть	6	2
45	к области	1	2
46	мы не	1	2
47	о чем	2	2
48	является в	1	2
49	если бы	2	2
50	что мы	1	2
51	ничего не	3	2
52	не столько	1	2
53	если не	1	2
54	том что	3	2
55	литературы и	2	2
56	художественном творчестве	1	2
57	нас в	1	2
58	с его	3	2
59	но не	8	2
60	в сторону	1	2
61	не все	2	2
62	в его	9	2
63	что и	4	2
64	более чем	1	2
65	конце концов	2	2
66	сих пор	2	2
67	но это	1	2
68	в том	6	2
69	и для	2	2
70	что он	10	2
71	в себе	7	2
72	в самом	11	2
73	между тем	1	2
74	и у	2	2
75	только в	6	2
76	не в	16	2
77	не есть	9	2
78	еще ничего	1	2
79	его и	1	2
80	бы и	3	2
81	всех этих	1	2
82	не могут	5	2
83	могут быть	2	2
84	в конце	7	2
85	тем что	4	2
86	что она	1	2
87	даже и	2	2
88	и это	12	1
89	об этом	1	1
90	существенным для	1	1
91	искусство и	1	1
92	в этот	2	1
93	человека и	14	1
94	то есть	3	1
95	в виду	2	1
96	входит в	2	1
97	л толстого	3	1
98	в период	1	1
99	искусства в	1	1
100	с самим	2	1
101	наука о	1	1
102	и быть	1	1
103	из самых	8	1
104	идет не	1	1
105	в пределах	1	1
106	много в	2	1
107	и др	1	1
108	она все	1	1
109	к которой	1	1
110	слова а	1	1
111	никогда не	14	1
112	как живой	1	1
113	так и	1	1
114	и возвращается	1	1
115	достоевского и	10	1
116	относится к	2	1
117	которой все	2	1
118	до конца	14	1
119	у других	1	1
120	с тем	9	1
121	мы имеем	1	1
122	он знает	2	1
123	обращение к	1	1
124	пафос его	3	1
125	а где	1	1
126	и даже	1	1
127	должно быть	3	1
128	знает только	1	1
129	не вполне	1	1
130	о нем	2	1
131	приводит к	2	1
132	о том	2	1
133	в ней	15	1
134	и потому	10	1
135	в котором	8	1
136	только для	1	1
137	и что	2	1
138	она в	1	1
139	он был	14	1
140	все и	1	1
141	все его	3	1
142	в значительной	1	1
143	он будет	1	1
144	все в	6	1
145	в течение	1	1
146	в той	2	1
147	пишет в	1	1
148	отказ от	1	1
149	что же	1	1
150	бы в	2	1
151	переходит в	15	1
152	того что	7	1
153	в которых	4	1
154	не без	1	1
155	тому чтобы	2	1
156	это значит	3	1
157	нет и	5	1
158	если нет	5	1
159	за пределы	4	1
160	быть не	2	1
161	него не	2	1
162	л толстой	2	1
163	и вся	1	1
164	его как	2	1
165	она не	4	1
166	толстого и	1	1
167	его на	1	1
168	в своем	10	1
169	его раскрывает	1	1
170	имеет свою	1	1
171	что ему	1	1
172	и все	10	1
173	что только	1	1
174	пушкина но	1	1
175	у кого	1	1
176	пределов и	1	1
177	на своем	3	1
178	и действительно	1	1
179	не существует	2	1
180	себя на	1	1
181	он уже	6	1
182	так много	1	1
183	в которой	6	1
184	на большую	1	1
185	бы ни	1	1
186	не было	18	1
187	находятся в	1	1
188	он в	2	1
189	тем более	1	1
190	литературы в	1	1
191	уже не	4	1
192	имеем в	1	1
193	но также	1	1
194	ее как	1	1
195	то и	1	1
196	в нем	13	1
197	но если	3	1
198	он не	24	1
199	сказать что	2	1
200	и истории	1	1
201	впервые в	1	1
202	одно из	3	1
203	не значит	2	1
204	ценность в	1	1
205	он и	2	1
206	этот процесс	3	1
207	это верно	1	1
208	но он	9	1
209	у него	17	1
210	всего что	2	1
211	и эта	1	1
212	к этому	2	1
213	что в	10	1
214	все что	2	1
215	бы это	1	1
216	от которой	1	1
217	этот путь	3	1
