N	2gram	Medvedev_S_1	Myshleni
1	образования понятий	1	45
2	с помощью	1	42
3	в процессе	1	27
4	и в	3	25
5	в том	5	23
6	том что	2	20
7	таким образом	2	17
8	что в	2	17
9	как и	1	15
10	в его	3	15
11	то что	2	15
12	в этом	5	14
13	между собой	1	13
14	может быть	2	13
15	в целом	1	13
16	на основании	1	11
17	перед нами	1	10
18	и что	2	10
19	было бы	2	10
20	только в	2	10
21	как бы	2	10
22	и не	1	10
23	мы не	1	9
24	связи с	1	9
25	тем что	1	8
26	столь же	1	7
27	все эти	1	7
28	по себе	1	7
29	в области	1	7
30	но не	1	6
31	не только	3	6
32	в силу	1	6
33	не может	1	6
34	не в	3	6
35	один из	1	6
36	что он	1	6
37	с другой	1	6
38	в связи	1	6
39	благодаря этому	1	6
40	все это	7	6
41	все же	1	6
42	мы должны	1	6
43	и как	1	5
44	что это	1	5
45	что она	1	5
46	и по	1	5
47	о том	1	5
48	так и	1	5
49	в этой	1	5
50	с одной	1	5
51	именно в	1	5
52	одной стороны	1	5
53	тем же	1	4
54	еще не	2	4
55	отнюдь не	1	4
56	в то	1	4
57	никогда не	1	4
58	с ним	1	4
59	связь между	1	4
60	всяком случае	1	4
61	но и	2	4
62	прежде всего	1	4
63	это значит	1	4
64	в смысле	2	4
65	а в	1	4
66	в частности	2	4
67	во всяком	1	4
68	в котором	1	3
69	но как	1	3
70	по отношению	2	3
71	что эти	1	3
72	его в	1	3
73	но только	1	3
74	в него	1	3
75	между тем	1	3
76	в виде	1	3
77	к которому	2	3
78	а с	1	3
79	в результате	2	3
80	между ними	1	3
81	то же	2	2
82	первый план	1	2
83	в чем	1	2
84	бы в	1	2
85	метод в	4	2
86	и понятие	1	2
87	главным образом	2	2
88	в мире	1	2
89	в них	1	2
90	на первый	1	2
91	в этих	1	2
92	в своей	1	2
93	место в	1	2
94	тому что	1	2
95	к изучению	1	2
96	и его	1	2
97	для этого	1	2
98	и только	3	2
99	исторического развития	2	2
100	и заключается	2	2
101	без этого	1	2
102	и благодаря	1	2
103	на этот	1	2
104	ни на	1	2
105	и потому	1	2
106	иначе говоря	1	2
107	раньше всего	1	2
108	для нас	3	2
109	вступает в	1	2
110	отношению к	2	2
111	же по	1	1
112	этому соответствует	1	1
113	полагает что	1	1
114	от друга	1	1
115	не способен	1	1
116	ними в	1	1
117	очевидно что	2	1
118	друг от	1	1
119	мы думаем	1	1
120	сама по	1	1
121	но ведь	3	1
122	научного исследования	1	1
123	он ни	1	1
124	собой не	1	1
125	по существу	2	1
126	ни были	1	1
127	что все	1	1
128	свойств и	1	1
129	развития по	1	1
130	же этот	1	1
131	такого построения	1	1
132	их на	1	1
133	и более	1	1
134	объединяется и	1	1
135	даже в	1	1
136	этой области	1	1
137	дело не	2	1
138	в сущности	1	1
139	больше того	1	1
140	законные границы	2	1
141	от общих	1	1
142	же самое	1	1
143	опираясь на	1	1
144	же не	1	1
145	стр и	1	1
146	естествознания и	1	1
147	целом все	1	1
148	против этого	1	1
149	его построения	1	1
150	не объединены	1	1
151	нашей работы	1	1
152	может не	1	1
153	не выходит	1	1
154	в конечном	1	1
155	на отдельные	1	1
156	том как	1	1
157	или даже	2	1
158	представить себе	1	1
159	в конце	2	1
160	психологии и	1	1
161	вовсе не	1	1
162	у него	1	1
163	какая-либо другая	1	1
164	выходит за	1	1
165	за пределы	2	1
166	и затем	1	1
167	основной вопрос	1	1
168	исторического характера	1	1
169	где же	1	1
170	в область	1	1
171	в данном	1	1
172	быть не	1	1
173	стоит только	1	1
174	остается в	1	1
175	это как	1	1
176	развития и	1	1
177	или нет	1	1
178	конце концов	2	1
179	хотя бы	1	1
180	или не	1	1
