N	4gram	Bakhtin_fo_1	Marksizm
1	в то же время	6	8
2	но в то же	1	5
3	одного и того же	5	4
4	в той или иной	1	3
5	одно и то же	3	3
6	с одной стороны и	2	2
7	может быть и речи	1	2
8	как мы уже знаем	1	2
9	не может быть и	1	2
10	той или иной степени	1	2
11	все более и более	1	2
12	с нашей точки зрения	3	2
13	с самого начала не	1	1
14	мы уже указывали что	1	1
15	дело в том что	2	1
16	в том числе и	2	1
17	в соответствии с этим	2	1
18	мы не претендуем на	1	1
19	как мы уже сказали	2	1
20	но для того чтобы	2	1
21	в жизни и в	1	1
22	не подлежит конечно сомнению	1	1
23	можно прямо сказать что	2	1
