N	3gram	Propp_Russ_2	VrazhdaK
1	не может быть	3	2
2	в том что	18	2
3	а между тем	1	1
4	далеко не все	1	1
5	в том же	1	1
6	тем более что	1	1
7	ироническое отношение к	1	1
8	полной уверенности что	1	1
9	в этом отношении	1	1
10	в полной уверенности	1	1
11	но это не	1	1
12	все же в	1	1
13	но и как	1	1
14	может быть и	1	1
15	но в этот	1	1
16	это не было	1	1
17	в это время	1	1
18	о том как	1	1
19	так же как	4	1
20	о том же	3	1
21	на первый взгляд	1	1
22	к этому образу	1	1
23	и в этом	1	1
24	не только как	1	1
25	во всяком случае	1	1
26	с другой стороны	1	1
27	очень хорошо знает	1	1
28	тем не менее	2	1
29	о чем говорилось	1	1
30	в то время	2	1
31	не все ясно	1	1
32	в свою очередь	1	1
33	это и есть	1	1
34	о том что	4	1
35	между тем это	2	1
36	они как бы	1	1
37	на то что	1	1
