N	2gram	Medvedev_I_1	EvropaiC
1	и в	1	24
2	все эти	1	19
3	в этом	2	12
4	все это	1	11
5	по отношению	1	10
6	так и	1	10
7	отношению к	1	10
8	того же	1	9
9	что в	2	9
10	если бы	1	8
11	по существу	1	7
12	того чтобы	1	7
13	для того	1	7
14	и не	2	7
15	того что	1	6
16	с другой	1	6
17	в целом	1	5
18	и с	3	5
19	и без	1	5
20	что при	1	5
21	другой стороны	1	5
22	он не	2	4
23	никогда не	1	4
24	не так	1	4
25	а с	1	4
26	самого себя	2	4
27	очевидно что	1	3
28	бы в	1	3
29	только что	1	3
30	а в	1	3
31	тех же	1	2
32	а для	1	2
33	в них	1	2
34	в эту	1	2
35	в основе	1	2
36	говорить о	1	2
37	доказать что	1	2
38	от нее	1	2
39	должен быть	2	2
40	и сам	1	2
41	жизни и	1	2
42	то и	1	2
43	для него	1	2
44	что для	1	2
45	получилось не	1	1
46	а позднее	1	1
47	я не	1	1
48	и еще	1	1
49	еще одной	1	1
50	это было	1	1
51	нее и	1	1
52	ученый но	1	1
53	как о	1	1
54	на котором	1	1
55	бы все	1	1
56	есть только	1	1
57	ничего не	2	1
58	и та	1	1
59	в значительной	1	1
60	у всех	1	1
61	и со	1	1
62	не случайно	1	1
63	тем что	1	1
64	а если	1	1
65	только для	1	1
66	оба они	2	1
67	точно и	1	1
68	понятий и	1	1
69	но когда	1	1
