N	2gram	Berdyaev_V_1	Psycholo
1	в том	3	37
2	и в	16	32
3	и что	3	22
4	то есть	1	21
5	том что	2	21
6	потому что	4	21
7	в искусстве	1	21
8	то что	9	21
9	что в	3	20
10	может быть	1	18
11	так же	1	18
12	что и	3	17
13	того чтобы	2	14
14	то же	1	13
15	в этом	4	13
16	для того	1	13
17	что он	4	13
18	в самом	1	12
19	не только	2	12
20	так как	9	12
21	с тем	2	11
22	и т	2	10
23	но и	5	10
24	как и	4	10
25	и не	20	10
26	как в	1	9
27	никогда не	3	9
28	тем что	2	9
29	что все	4	9
30	в своих	1	9
31	что это	1	8
32	не в	3	8
33	того что	5	8
34	что они	7	7
35	говорит что	1	7
36	все эти	3	7
37	к тому	3	7
38	можно было	2	7
39	только в	2	7
40	а не	7	7
41	в этой	1	6
42	и мы	3	6
43	тот же	3	6
44	как бы	5	6
45	и на	1	5
46	все это	5	5
47	в ней	4	5
48	вслед за	2	5
49	он говорит	1	5
50	есть не	1	4
51	в чем	3	4
52	все же	1	4
53	в целом	1	4
54	в нем	4	4
55	и по	1	4
56	и с	1	4
57	и тем	1	4
58	в жизни	3	4
59	тому что	3	4
60	не имеет	3	4
61	того как	1	4
62	ничего не	1	4
63	как она	1	4
64	и до	1	4
65	в сознании	1	4
66	что на	1	4
67	и для	3	4
68	могут быть	2	4
69	и это	2	4
70	и сам	2	4
71	между тем	2	4
72	мы видим	1	4
73	как это	1	4
74	с этой	1	4
75	и все	4	4
76	а в	2	4
77	жизни и	3	4
78	и то	2	3
79	мы не	2	3
80	то это	3	3
81	во всех	3	3
82	но как	1	3
83	если оно	1	3
84	которые не	2	3
85	на нас	2	3
86	но в	3	3
87	не к	2	3
88	и вот	1	3
89	на этом	1	3
90	в своей	3	3
91	это только	1	3
92	в их	1	3
93	в которых	1	3
94	жизни с	1	3
95	не могли	2	3
96	видим что	1	3
97	во всем	1	3
98	не могут	2	3
99	отказаться от	1	3
100	в виду	1	3
101	так и	4	3
102	мы в	1	3
103	с другой	1	3
104	бы и	3	3
105	один из	2	3
106	и так	1	3
107	и ее	1	3
108	что не	4	3
109	каким образом	1	3
110	в конце	3	3
111	что тот	1	3
112	это значит	1	3
113	конце концов	1	3
114	хотя бы	3	3
115	к людям	6	2
116	не имеют	1	2
117	еще не	8	2
118	сами же	1	2
119	в первый	3	2
120	как не	3	2
121	же что	1	2
122	бы то	1	2
123	с его	3	2
124	в ее	1	2
125	но не	2	2
126	мы будем	1	2
127	если в	1	2
128	себе и	1	2
129	могли бы	1	2
130	в которой	1	2
131	т д	2	2
132	они в	3	2
133	то ни	1	2
134	значение в	1	2
135	и которые	1	2
136	это не	2	2
137	в них	3	2
138	не так	2	2
139	не понимает	1	2
140	их в	3	2
141	в этих	3	2
142	как можно	1	2
143	и другое	1	2
144	на него	1	2
145	в процессе	1	2
146	и всегда	1	2
147	в русском	1	2
148	роковым образом	1	2
149	ни в	3	2
150	что оно	1	2
151	его с	1	2
152	оно не	3	2
153	она не	1	2
154	и говорит	1	2
155	роль в	1	2
156	на том	2	2
157	который он	1	2
158	по сравнению	1	2
159	и вообще	1	2
160	ничего кроме	1	2
161	во всяком	2	2
162	после того	1	2
163	в его	4	2
164	а потому	1	2
165	людей с	1	2
166	к нему	1	2
167	от смысла	1	2
168	это очень	1	2
169	детскую игру	1	2
170	говорит о	1	2
171	в одном	1	2
172	вовсе не	1	2
173	в состоянии	1	2
174	отношение к	1	2
175	к ним	1	2
176	но что	1	2
177	в день	1	2
178	и никогда	2	2
179	а с	2	2
180	не было	3	2
181	на которых	1	2
182	вместе с	1	2
183	с каким-то	1	2
184	сравнению с	1	2
185	но это	3	2
186	сознании и	1	2
187	только мы	1	2
188	когда я	2	2
189	не существует	1	2
190	а к	2	2
191	для нас	2	2
192	у них	1	2
193	первый раз	3	2
194	другой стороны	1	2
195	ли он	1	2
196	и от	1	2
197	это в	1	2
198	тайны и	1	2
199	все что	4	2
200	а между	2	1
201	от этой	1	1
202	речь идет	1	1
203	человека и	6	1
204	далее и	1	1
205	от своей	2	1
206	человеческой души	1	1
207	и самое	1	1
208	и за	2	1
209	их и	1	1
210	что уже	1	1
211	почему мы	1	1
212	как детскую	1	1
213	мы и	2	1
214	зависимости от	1	1
215	о судьбе	1	1
216	свободно и	1	1
217	человечества в	2	1
218	это имеет	1	1
219	важный для	1	1
220	его во	3	1
221	в истории	8	1
222	более чем	2	1
223	его на	1	1
224	не любят	2	1
225	им в	1	1
226	сострадания к	1	1
227	его к	2	1
228	утверждают что	1	1
229	в противоположность	1	1
230	уже не	2	1
231	человеке и	1	1
232	наш мир	1	1
233	и если	1	1
234	соединенная с	1	1
235	от людей	1	1
236	нашего времени	1	1
237	людей и	2	1
238	в пустыне	8	1
239	но все	1	1
240	не будет	2	1
241	этом нет	1	1
242	с самыми	1	1
243	это случилось	1	1
244	его не	2	1
245	в глазах	1	1
246	святого и	1	1
247	отказавшись от	1	1
248	люди не	2	1
249	и уже	1	1
250	для чего	1	1
251	жизни но	1	1
252	с такой	1	1
253	и было	1	1
254	должно быть	3	1
255	и тогда	2	1
256	земли и	2	1
257	таким же	1	1
258	и тут	1	1
259	жизнь так	1	1
260	наших дней	1	1
261	за которым	1	1
262	в котором	4	1
263	что всякий	1	1
264	есть один	1	1
265	и новые	2	1
266	мир и	2	1
267	что было	2	1
268	по крайней	1	1
269	есть еще	1	1
270	и очень	1	1
271	нет никакого	1	1
272	что есть	5	1
273	и объявили	1	1
274	на котором	1	1
275	одна из	2	1
276	что их	2	1
277	и остается	1	1
278	не по	1	1
279	людей от	1	1
280	мы все	1	1
281	всего ярче	1	1
282	нам и	1	1
283	найти в	1	1
284	в разных	1	1
285	жизни не	1	1
286	вместо того	2	1
287	уже и	1	1
288	и каким	1	1
289	заключается что	1	1
290	чтобы сделать	2	1
291	всего что	1	1
292	они и	2	1
293	не есть	6	1
294	для себя	1	1
295	из всего	1	1
296	как мы	1	1
297	людей в	3	1
298	ни стало	1	1
299	отнять у	1	1
300	в себя	2	1
301	он так	1	1
302	на нее	1	1
303	за то	3	1
304	не с	2	1
305	живет в	1	1
306	когда в	2	1
307	почему в	2	1
308	которого они	1	1
309	является в	2	1
310	быть может	1	1
311	смысле и	1	1
312	не ведая	1	1
313	но мы	2	1
314	если исключить	1	1
315	всего можно	1	1
316	и во	2	1
317	что люди	1	1
318	идет к	1	1
319	ее от	1	1
320	мы указывали	1	1
321	я думаю	2	1
322	крайней мере	1	1
323	все в	1	1
324	человеческую жизнь	1	1
325	что бы	1	1
326	и самые	1	1
327	людей а	1	1
328	для таких	1	1
329	в двух	1	1
330	с ними	1	1
331	мы увидим	1	1
332	тогда мы	1	1
333	и сказал	1	1
334	образа в	1	1
335	все старые	1	1
336	гораздо большая	2	1
337	третье и	2	1
338	по этому	3	1
339	уже упрек	1	1
340	же и	1	1
341	конечно не	2	1
342	своей целью	1	1
343	тем чтобы	1	1
344	значит быть	1	1
345	человека когда	1	1
346	его и	2	1
347	за ним	3	1
348	для него	2	1
349	не сумеет	1	1
350	жил и	1	1
351	прежде всего	2	1
352	людей не	2	1
353	не просто	1	1
354	ее на	1	1
355	нас как	1	1
356	всякого содержания	1	1
