N	2gram	Vygotskiy__1	Retstnzi
1	не может	17	4
2	и в	31	3
3	в центре	1	2
4	один из	4	2
5	если в	1	2
6	нет и	1	1
7	и методологически	1	1
8	в особенности	1	1
9	лучше всего	1	1
10	и не	16	1
11	можно и	1	1
12	тому что	4	1
13	категорий и	1	1
14	не только	13	1
15	художественного произведения	17	1
16	и тому	1	1
17	связи с	1	1
18	этой проблемы	1	1
19	системы исследования	1	1
20	точки зрения	15	1
21	на примере	3	1
22	но и	2	1
23	не менее	2	1
24	в системе	1	1
25	как искусство	1	1
26	тех же	2	1
27	теми или	1	1
28	в ней	1	1
29	с теми	2	1
30	на месте	1	1
31	выводы на	1	1
32	в то	5	1
33	с точки	2	1
34	произведения но	2	1
35	этих методов	1	1
36	и на	1	1
37	для него	1	1
38	и социальной	1	1
39	мы видим	5	1
40	может не	1	1
41	и больше	1	1
42	искусство как	9	1
43	на нее	1	1
44	своих теоретических	1	1
45	бы чисто	1	1
46	из крупнейших	1	1
47	анализа и	1	1
48	к тому	4	1
49	речь и	2	1
50	а не	13	1
51	может быть	22	1
52	при анализе	1	1
53	несмотря на	5	1
54	в его	6	1
55	или иными	1	1
56	то же	5	1
57	и все	5	1
58	из этих	6	1
59	нуждаются в	3	1
60	если бы	6	1
61	в каждом	3	1
62	исходя из	3	1
63	бы в	2	1
