N	3gram	Tiupa_Anal_1	Psycholo
1	и т п	3	15
2	в том что	9	9
3	не может быть	16	8
4	в самом деле	2	7
5	в том чтобы	7	7
6	о том что	3	7
7	во всяком случае	1	6
8	в зависимости от	1	5
9	не в том	3	5
10	этой точки зрения	1	5
11	подобно тому как	3	5
12	с другой стороны	2	5
13	с одной стороны	3	5
14	для того чтобы	3	5
15	с этой точки	1	4
16	как и в	1	4
17	только тогда когда	1	4
18	не в состоянии	1	3
19	и той же	1	3
20	в художественном произведении	1	3
21	только в том	1	3
22	до сих пор	1	3
23	в отличие от	6	3
24	в собственном смысле	1	3
25	в сущности говоря	1	3
26	одной и той	1	3
27	в конечном счете	4	3
28	состоит в том	3	2
29	может быть сведена	1	2
30	более или менее	1	2
31	в этом смысле	1	2
32	в том и	2	2
33	то же самое	2	2
34	с точки зрения	4	2
35	в произведении искусства	3	2
36	в таком случае	3	2
37	в этом отношении	2	2
38	то или иное	1	2
39	вместе с тем	1	2
40	в том случае	1	2
41	том и состоит	1	2
42	есть в сущности	1	2
43	тех или иных	2	2
44	как будто бы	1	2
45	быть сведена к	1	2
46	собственном смысле слова	1	2
47	и таким образом	1	2
48	произведение искусства есть	1	2
49	и в самом	1	2
50	смысле этого слова	1	2
51	том что искусство	1	2
52	но прежде всего	1	1
53	и в сущности	1	1
54	и того же	2	1
55	такой же мере	1	1
56	тех пор пока	1	1
57	в основе своей	2	1
58	автора и не	1	1
59	мы имеем дело	4	1
60	оно может быть	1	1
61	а вовсе не	1	1
62	но то что	1	1
63	сколько бы ни	1	1
64	может быть признано	1	1
65	в том числе	3	1
66	том что он	2	1
67	сознательно или бессознательно	1	1
68	в том же	1	1
69	точки зрения в	1	1
70	искусство в том	1	1
71	выходит за пределы	1	1
72	том случае если	1	1
73	на точку зрения	1	1
74	сами по себе	2	1
75	ни в коем	2	1
76	а вместе с	1	1
77	и не будет	1	1
78	и вследствие этого	1	1
79	виде в каком	1	1
80	в той мере	2	1
81	том или ином	3	1
82	привносит от себя	1	1
83	может быть сведено	3	1
84	от себя и	2	1
85	в коем случае	2	1
86	литературное произведение есть	1	1
87	но в таком	1	1
88	всякое понимание есть	1	1
89	в первом случае	2	1
90	между тем как	1	1
91	не только в	1	1
92	и то же	1	1
93	в известном смысле	1	1
94	сказать своим произведением	1	1
95	что все люди	1	1
96	не могут быть	2	1
97	дело не в	1	1
98	в такой же	1	1
99	в том или	2	1
100	или иных элементов	1	1
101	одни и те	1	1
102	в связи с	1	1
103	приводит нас к	1	1
104	есть особый способ	1	1
105	мере в какой	2	1
106	в полной мере	3	1
107	по своему содержанию	1	1
108	один и тот	1	1
109	на вопрос о	1	1
110	в широком смысле	2	1
111	того и другого	2	1
112	что даже в	1	1
113	до тех пор	1	1
114	и вместе с	1	1
115	дело с фактами	1	1
116	коем случае не	2	1
117	в свою очередь	1	1
118	а не ее	1	1
119	это отнюдь не	1	1
120	что иное как	5	1
121	включает в себя	1	1
122	и те же	1	1
123	одного и того	2	1
124	и в частности	1	1
125	тогда когда оно	1	1
126	в качестве специфического	1	1
127	но это отнюдь	1	1
128	не что иное	4	1
129	в области литературы	1	1
130	той мере в	2	1
131	вслед за ним	1	1
132	одно и то	1	1
133	к тому же	4	1
134	а затем уже	1	1
135	что в произведении	1	1
136	хотел сказать своим	1	1
137	и состоит что	1	1
138	при взгляде на	1	1
139	том числе и	1	1
140	и тот же	1	1
141	теории литературы и	1	1
