N	2gram	Losev_Vlad_2	Russkaja
1	не может	9	22
2	и не	18	19
3	в том	18	17
4	в этом	20	17
5	и в	30	14
6	то что	20	13
7	соединение церквей	1	12
8	то же	4	11
9	точки зрения	7	11
10	таким образом	3	11
11	в то	9	10
12	же время	3	10
13	но и	8	10
14	в себе	6	9
15	соединения церквей	1	9
16	не только	12	9
17	том что	12	9
18	с точки	3	9
19	может быть	7	9
20	церкви и	2	9
21	во всяком	6	9
22	того чтобы	2	8
23	прежде всего	6	8
24	самом деле	1	7
25	и если	4	7
26	к богу	1	7
27	и с	14	7
28	в данном	3	7
29	к тому	2	7
30	не будет	1	7
31	о том	4	7
32	мы должны	4	7
33	ни к	1	7
34	к которой	1	6
35	если в	1	6
36	в своем	8	6
37	и к	6	6
38	в россии	3	6
39	с тем	2	6
40	в своих	2	6
41	и при	2	6
42	если бы	1	6
43	все это	5	6
44	и для	3	6
45	для того	2	6
46	что он	13	6
47	всяком случае	6	6
48	для всех	1	6
49	для него	9	6
50	и на	4	5
51	во всех	3	5
52	на то	2	5
53	в нем	4	5
54	при этом	5	5
55	он не	4	5
56	было бы	9	5
57	в своей	5	5
58	никогда не	7	5
59	потому что	9	5
60	последние дни	3	5
61	только в	6	5
62	хотя бы	3	5
63	конечно не	4	5
64	в последние	2	5
65	до сих	1	5
66	по существу	3	5
67	национальная культура	1	5
68	сих пор	1	5
69	а в	11	5
70	жизни в	2	5
71	и то	5	4
72	бы то	1	4
73	но не	3	4
74	себе и	2	4
75	себя в	2	4
76	все же	9	4
77	более или	3	4
78	не в	9	4
79	в этой	4	4
80	на земле	2	4
81	то ни	1	4
82	его в	4	4
83	как и	5	4
84	которой он	2	4
85	или менее	3	4
86	в их	2	4
87	тогда когда	2	4
88	во всем	1	4
89	от того	1	4
90	не могут	1	4
91	можно было	2	4
92	в его	11	4
93	так как	5	4
94	со стороны	4	4
95	вместе с	8	4
96	что же	8	4
97	как бы	5	4
98	в другое	1	4
99	отказаться от	1	4
100	жизни и	6	4
101	что в	12	4
102	к этой	2	4
103	и т	1	3
104	то в	5	3
105	и этот	1	3
106	говорить о	1	3
107	в будущем	2	3
108	и ни	1	3
109	еще не	1	3
110	он сам	2	3
111	из этих	3	3
112	россии и	2	3
113	что они	1	3
114	во что	1	3
115	в самом	2	3
116	что это	4	3
117	главным образом	1	3
118	на том	1	3
119	был и	3	3
120	и по	2	3
121	лишь в	1	3
122	для них	1	3
123	несмотря на	4	3
124	должно быть	3	3
125	всех этих	3	3
126	но если	1	3
127	том чтобы	2	3
128	связи с	8	3
129	в сознании	1	3
130	то это	4	3
131	приходит к	2	3
132	что все	1	3
133	данном случае	2	3
134	ни стало	1	3
135	может только	1	3
136	собой и	1	3
137	для этого	1	3
138	сводится к	1	3
139	может не	1	3
140	но мы	1	3
141	в вопросах	1	3
142	вопросу о	1	3
143	и во	2	3
144	что и	3	3
145	что бы	1	3
146	того что	5	3
147	в качестве	1	3
148	с нею	1	3
149	в виде	3	3
150	из них	1	3
151	в конце	13	3
152	друг друга	2	3
153	тем что	1	3
154	именно в	4	3
155	что для	2	3
156	не было	10	3
157	вселенской церкви	3	3
158	и потому	2	3
159	да и	3	3
160	этом случае	1	3
161	конце концов	3	3
162	и как	3	3
163	не есть	4	3
164	из этого	5	3
165	от этой	1	2
166	говоря о	3	2
167	и есть	2	2
168	к чему	1	2
169	к церкви	1	2
170	но она	1	2
171	этой церкви	1	2
172	но даже	1	2
173	в ней	4	2
174	в таком	3	2
175	время в	4	2
176	не просто	1	2
177	с этим	5	2
178	последнее время	2	2
179	целый ряд	1	2
180	и наконец	4	2
181	но в	8	2
182	это есть	1	2
183	все эти	5	2
184	что ничего	1	2
185	во многих	2	2
186	стремиться к	1	2
187	не к	1	2
188	и вот	3	2
189	свое учение	1	2
190	мы уже	2	2
191	всех народов	1	2
192	в глазах	1	2
193	по себе	5	2
194	и тем	1	2
195	ведь в	1	2
196	одному из	1	2
197	на основании	1	2
198	этого не	2	2
199	нисколько не	2	2
200	народа и	2	2
201	в этих	4	2
202	во время	1	2
203	будет в	1	2
204	что такое	1	2
205	в котором	5	2
206	место в	1	2
207	их в	2	2
208	том же	3	2
209	для россии	1	2
210	для нее	1	2
211	любовь к	1	2
212	она не	2	2
213	что с	1	2
214	для нас	7	2
215	у него	19	2
216	к такому	3	2
217	следовательно и	1	2
218	и является	1	2
219	как будто	2	2
220	в области	3	2
221	если только	1	2
222	свое собственное	1	2
223	для себя	5	2
224	россию и	1	2
225	и о	4	2
226	и человек	1	2
227	за то	1	2
228	ясно что	1	2
229	с самим	1	2
230	разумеется что	2	2
231	даже не	1	2
232	и деятельности	1	2
233	в порядке	1	2
234	и должно	1	2
235	настоящее время	2	2
236	и что	5	2
237	вне всякой	1	2
238	любви к	1	2
239	от него	1	2
240	к нему	2	2
241	это в	3	2
242	эта работа	1	2
243	речь шла	1	2
244	быть и	1	2
245	что только	1	2
