N	2gram	Potebnia_M_1	EvropaiC
1	таким образом	13	32
2	в том	26	31
3	и в	39	24
4	том что	16	20
5	все эти	1	19
6	не может	22	18
7	то что	10	17
8	может быть	27	15
9	все же	6	15
10	точки зрения	8	13
11	самом деле	1	12
12	в своем	3	12
13	до сих	1	12
14	в этом	15	12
15	сих пор	1	12
16	с этим	7	11
17	между тем	5	11
18	все это	1	11
19	во всех	5	10
20	по отношению	13	10
21	так и	13	10
22	из себя	5	10
23	как бы	6	10
24	отношению к	13	10
25	все что	2	10
26	того же	3	9
27	на то	2	9
28	при этом	6	9
29	как и	9	9
30	в результате	1	9
31	что в	22	9
32	а и	1	8
33	в самом	3	8
34	касается до	1	8
35	с точки	3	8
36	не в	15	8
37	если бы	14	8
38	земного шара	1	8
39	так же	5	8
40	и все	3	8
41	а между	3	7
42	на самом	1	7
43	из этих	4	7
44	о которых	2	7
45	или менее	1	7
46	не менее	6	7
47	того чтобы	2	7
48	по своей	1	7
49	к тому	4	7
50	для этого	2	7
51	о том	2	7
52	и что	10	7
53	что он	1	7
54	для того	3	7
55	но и	20	7
56	и не	18	7
57	более или	1	7
58	о котором	3	7
59	из этого	2	7
60	должна быть	3	6
61	еще не	6	6
62	и на	1	6
63	тогда как	2	6
64	что касается	1	6
65	в этой	3	6
66	в мире	3	6
67	в сознании	3	6
68	несмотря на	5	6
69	и при	3	6
70	от друга	2	6
71	с ним	3	6
72	что и	6	6
73	того что	8	6
74	только в	25	6
75	все они	2	6
76	так что	16	6
77	так как	21	6
78	мы можем	2	6
79	друг от	2	6
80	с другой	7	6
81	вместе с	8	6
82	как на	3	6
83	столь же	3	5
84	основано на	1	5
85	но в	9	5
86	в которой	2	5
87	что это	3	5
88	в целом	2	5
89	в себе	13	5
90	не только	21	5
91	и если	2	5
92	но все	2	5
93	не будет	2	5
94	что все	3	5
95	и с	3	5
96	на все	2	5
97	лишь в	1	5
98	его в	1	5
99	между собою	6	5
100	и без	3	5
101	что с	1	5
