N	3gram	Tiupa_Vved_1	StatiiOP
1	в том что	3	16
2	о том что	4	11
3	в этом отношении	4	9
4	с другой стороны	1	3
5	во всяком случае	1	3
6	речь идет о	1	3
7	в том же	1	2
8	сами по себе	1	2
9	в отличие от	2	2
10	не только с	1	2
11	в значительной степени	1	2
12	в этом месте	1	2
13	в самом тексте	1	2
14	не столько в	1	2
15	и в этом	1	2
16	не в том	1	2
17	то что он	1	2
18	мере в какой	2	2
19	более или менее	2	2
20	но и с	1	2
21	на то что	1	2
22	той мере в	2	2
23	тем не менее	3	2
24	в той мере	2	2
25	к тому же	4	2
26	на границе между	1	1
27	следует подчеркнуть что	5	1
28	на самом деле	3	1
29	в котором он	1	1
30	в настоящее время	1	1
31	но и по	1	1
32	в этом смысле	1	1
33	где между прочим	1	1
34	в ответ на	1	1
35	вследствие того что	1	1
36	в котором мы	1	1
37	об этом в	1	1
38	не говорится о	1	1
39	в зависимости от	1	1
40	не могло быть	1	1
41	которой не может	1	1
42	в данном случае	6	1
43	или иначе в	1	1
44	в высшей степени	2	1
45	сколько в том	1	1
46	по большей части	3	1
47	как она была	1	1
48	а к тому	1	1
49	в связи с	1	1
50	не исключает возможности	1	1
51	будет зависеть от	1	1
52	и едва ли	1	1
53	с другой в	1	1
54	вместо того чтобы	1	1
55	прежде всего к	1	1
56	с легкой руки	2	1
57	по отношению к	7	1
58	то же время	3	1
59	в том чтобы	2	1
60	в свою очередь	4	1
61	в этом случае	1	1
62	с того что	1	1
63	у нее есть	1	1
64	в сущности говоря	1	1
65	в то же	4	1
66	в том числе	1	1
67	как мы видели	2	1
