N	2gram	Savitsky_P_1	RusskieA
1	и в	14	29
2	т е	3	24
3	том что	4	22
4	в том	9	22
5	что в	4	22
6	как бы	4	18
7	в других	1	15
8	и другие	1	14
9	может быть	5	13
10	в этом	10	11
11	как и	1	11
12	одна из	2	11
13	не только	17	10
14	и с	2	10
15	все это	2	10
16	во многих	1	9
17	а в	4	9
18	его в	1	8
19	но и	6	8
20	и м	1	8
21	представляют собой	1	7
22	мы не	3	6
23	еще не	1	6
24	и на	1	6
25	того чтобы	1	6
26	на нее	1	6
27	для нас	2	6
28	для того	3	6
29	с тем	3	6
30	вместе с	1	6
31	в данном	1	6
32	же в	4	6
33	и т	3	5
34	должна была	1	5
35	но не	3	5
36	но в	9	5
37	это не	3	5
38	т д	1	5
39	не может	4	5
40	потому что	3	5
41	для этого	1	5
42	и что	1	5
43	к жизни	1	5
44	то что	4	5
45	в русских	1	4
46	же как	1	4
47	вносили в	1	4
48	то же	9	4
49	вопрос о	1	4
50	не все	1	4
51	что по	1	4
52	а затем	1	4
53	в них	2	4
54	далеко не	1	4
55	в которых	5	4
56	не в	5	4
57	тогда когда	1	4
58	а также	4	4
59	в виде	2	4
60	из них	2	4
61	именно в	2	4
62	а не	2	4
63	так же	1	4
64	и через	1	3
65	в и	1	3
66	и о	5	3
67	р е	1	3
68	в xix	2	3
69	в ее	2	3
70	что это	1	3
71	в этой	1	3
72	главным образом	2	3
73	и по	1	3
74	в народе	1	3
75	и других	2	3
76	живет в	1	3
77	церковь и	1	3
78	в эту	2	3
79	в этих	1	3
80	в котором	4	3
81	в отличие	1	3
82	не будем	2	3
83	она не	1	3
84	не имеет	1	3
85	что от	1	3
86	в лесах	1	3
87	во всех	2	3
88	в свете	1	3
89	того что	2	3
90	между тем	3	3
91	в качестве	9	3
92	друг друга	1	3
93	отличие от	1	3
94	связаны с	1	3
95	в природе	1	3
96	xix в	1	3
97	было бы	6	3
98	а н	5	3
99	также что	1	2
100	и то	1	2
101	тем и	1	2
102	переход от	2	2
103	и несут	1	2
104	на себя	1	2
105	которое в	2	2
106	это имеет	1	2
107	с одной	3	2
108	с этим	2	2
109	все же	1	2
110	и как	3	2
111	не было	2	2
112	в которой	1	2
113	представляет собой	1	2
114	из этих	1	2
115	если он	1	2
116	как оно	1	2
117	не к	2	2
118	связанные с	1	2
119	для них	2	2
120	из нее	1	2
121	должно быть	2	2
122	и еще	1	2
123	не столько	2	2
124	не менее	2	2
125	что с	1	2
126	в то	7	2
127	никогда не	1	2
128	и д	8	2
129	в момент	1	2
130	что при	1	2
131	должен быть	1	2
132	и многие	1	2
133	не с	1	2
134	еще в	1	2
135	с другой	5	2
136	связь между	1	2
137	что и	1	2
138	также в	1	2
139	в г	1	2
140	и е	4	2
141	и ее	1	2
142	есть в	2	2
143	одно из	1	2
144	каждый из	1	2
145	на две	1	2
146	церкви и	2	2
147	а с	1	2
148	в церковь	1	2
149	прежде всего	3	2
150	и пр	5	2
151	одной стороны	3	2
152	там где	1	2
153	в европе	2	2
154	многих случаях	1	2
155	могут быть	3	2
156	только как	1	2
157	и при	1	2
158	это в	1	2
159	другие народы	2	1
160	к этой	1	1
161	и есть	2	1
162	можно говорить	1	1
163	смысл этого	1	1
164	применении к	1	1
165	с основной	1	1
166	например в	2	1
167	что если	1	1
168	этом не	1	1
169	говорить о	2	1
170	мы и	1	1
171	д а	3	1
172	так называемые	2	1
173	в ней	6	1
174	без которой	1	1
175	что его	1	1
176	в различных	1	1
177	если в	2	1
178	к сожалению	1	1
179	древней руси	1	1
180	как высоко	1	1
181	отнюдь не	2	1
182	что именно	1	1
183	стороны и	2	1
184	в своем	4	1
185	и где	1	1
186	хотя и	3	1
187	более или	1	1
188	в самом	1	1
189	уже в	1	1
190	и усилению	1	1
191	и будущее	1	1
192	только один	1	1
193	на то	1	1
194	но на	1	1
195	не могла	1	1
196	и если	4	1
197	в нем	3	1
198	ей в	3	1
199	в статье	2	1
200	области и	1	1
201	образом на	2	1
202	есть та	1	1
203	только в	7	1
204	на этих	2	1
205	от нее	1	1
206	ее по	1	1
207	что все	1	1
208	в число	1	1
209	когда-то и	1	1
210	земледелия но	1	1
211	по всему	1	1
212	между духовным	1	1
213	на основании	1	1
214	и некоторых	1	1
215	говорится о	1	1
216	в развитии	1	1
217	или менее	1	1
218	но где	1	1
219	когда ее	1	1
220	в которые	1	1
221	место в	1	1
222	как одна	1	1
223	сохранить в	1	1
224	чтобы это	1	1
225	из числа	1	1
226	в древней	1	1
227	и очень	1	1
228	что есть	1	1
229	ее нужно	1	1
230	что эта	1	1
231	с которой	1	1
232	в русской	4	1
233	и притом	1	1
234	с и	1	1
235	тем больше	1	1
236	в полной	2	1
237	где уже	1	1
238	можно рассматривать	1	1
239	в колосьях	1	1
240	и здесь	1	1
241	и другим	1	1
242	он начнет	1	1
243	в применении	1	1
244	и это	2	1
245	и которая	1	1
246	на основе	1	1
247	м е	1	1
248	и этим	1	1
249	в пределах	8	1
250	идет речь	1	1
251	iii в	2	1
252	с собой	1	1
253	возможно что	1	1
254	он был	1	1
255	если бы	4	1
256	находится в	1	1
257	сводится к	3	1
258	на этой	1	1
259	настоящее время	1	1
260	с того	1	1
261	может не	1	1
262	в начальные	1	1
263	в его	2	1
264	во всей	2	1
265	востока и	1	1
266	и мир	1	1
267	более что	1	1
268	и деятельны	1	1
269	тот же	3	1
270	в основном	1	1
271	с ними	3	1
272	в какой	1	1
273	их не	1	1
274	в эти	1	1
275	собою как	1	1
276	человека с	1	1
277	в большинстве	1	1
278	только на	1	1
279	но есть	1	1
280	мир в	1	1
281	не будут	1	1
282	всяком случае	1	1
283	и должна	1	1
284	эти могут	1	1
285	к ним	1	1
286	как раз	2	1
287	не просто	1	1
288	в это	1	1
289	нужно было	2	1
290	ней и	1	1
291	в н	1	1
292	и чем	1	1
293	смерти но	1	1
294	выступает в	1	1
295	религия есть	1	1
296	и преимущественно	1	1
297	к стремлению	1	1
298	вдали от	1	1
299	в одно	1	1
300	в исторической	1	1
301	и потому	4	1
302	в иных	1	1
303	на человеческую	1	1
304	есть некоторое	1	1
305	равным образом	1	1
306	многих других	1	1
307	в современной	1	1
308	и более	1	1
309	и жизнь	1	1
310	и не	12	1
311	на пути	4	1
312	случаях когда	1	1
313	она может	1	1
314	в настоящее	1	1
315	не более	1	1
316	тем более	2	1
317	мы должны	4	1
318	не связаны	1	1
319	только что	1	1
320	но возможно	1	1
321	кто к	1	1
322	христианства к	1	1
323	все еще	1	1
324	другой стороны	1	1
325	они как	1	1
326	когда в	1	1
327	одновременно и	1	1
328	есть и	1	1
329	во всяком	1	1
330	как на	2	1
331	и особенно	1	1
