N	2gram	Voloshinov_1	Tvorches
1	у достоевского	1	28
2	и в	38	21
3	как бы	28	17
4	в то	9	15
5	то же	14	13
6	в его	6	13
7	то есть	4	12
8	как и	10	12
9	же время	7	12
10	что в	1	12
11	с его	7	11
12	том что	3	11
13	все это	4	10
14	в романе	1	10
15	как в	2	8
16	он не	2	8
17	то что	8	8
18	и на	6	7
19	но в	5	7
20	не только	27	7
21	при этом	9	7
22	тем самым	7	7
23	у него	1	7
24	и не	14	7
25	в том	2	7
26	в свою	6	7
27	в этом	10	6
28	человека в	2	6
29	в котором	3	6
30	не менее	1	6
31	и его	7	6
32	о том	4	6
33	и все	4	6
34	что он	2	6
35	для него	3	6
36	а в	5	6
37	отнюдь не	10	5
38	все же	7	5
39	в этой	6	5
40	таким образом	7	5
41	вовсе не	2	5
42	в своих	2	5
43	в русской	1	5
44	потому что	5	5
45	как будто	1	5
46	только в	6	5
47	может быть	13	5
48	а не	6	5
49	но это	2	5
50	это уже	1	5
51	хотя бы	18	5
52	человека и	1	4
53	не имеют	1	4
54	из всех	1	4
55	конечном счете	1	4
56	в своем	1	4
57	и как	9	4
58	та же	3	4
59	в целом	4	4
60	это не	3	4
61	в своей	2	4
62	мысли и	1	4
63	в мире	2	4
64	времени и	2	4
65	в конечном	1	4
66	русской литературе	1	4
67	одной из	2	4
68	русской жизни	1	4
69	прежде всего	21	4
70	на эту	1	4
71	не может	12	4
72	и от	7	4
73	в основном	1	4
74	один из	4	4
75	процесса в	1	4
76	одним из	1	4
77	я и	2	3
78	на самом	3	3
79	это и	1	3
80	той же	5	3
81	среды и	1	3
82	я не	1	3
83	не был	1	3
84	что я	1	3
85	хотя и	3	3
86	героев достоевского	1	3
87	в самом	4	3
88	сливается с	1	3
89	представляет собой	2	3
90	в нем	4	3
91	он ни	1	3
92	первой части	1	3
93	на его	5	3
94	и с	5	3
95	на протяжении	1	3
96	в их	1	3
97	место в	2	3
98	человека но	1	3
99	дело не	1	3
100	самого начала	4	3
101	никогда не	7	3
102	воли и	1	3
103	приходит к	1	3
104	и другие	1	3
105	с самого	4	3
106	в дальнейшем	2	3
107	с ним	2	3
108	того что	4	3
109	действительной жизни	2	3
110	уже не	4	3
111	уже в	5	3
112	в виде	1	3
113	не так	3	3
114	так как	7	3
115	в которой	7	3
116	связан с	1	3
117	и даже	3	3
118	с другой	1	3
119	но и	13	3
120	что человек	1	3
121	ни на	3	3
122	но не	2	3
123	он говорит	1	3
124	для человека	1	3
125	не существует	4	3
126	просто не	1	3
127	это как	1	3
128	но если	1	3
129	жизни и	3	3
130	так же	4	3
131	вряд ли	3	2
132	в нашей	1	2
133	того же	1	2
134	самом деле	4	2
135	есть не	2	2
136	и он	2	2
137	в ней	8	2
138	не нужно	2	2
139	в чем	1	2
140	не то	1	2
141	если в	1	2
142	в одной	1	2
143	как к	1	2
144	когда он	1	2
145	и наконец	5	2
146	то в	1	2
147	отчасти и	1	2
148	к достижению	2	2
149	в себе	9	2
150	следуя за	1	2
151	на площади	1	2
152	тем не	1	2
153	так сказать	4	2
154	добродетель и	1	2
155	же самая	2	2
156	здесь мы	3	2
157	не будет	3	2
158	а затем	1	2
159	о котором	1	2
160	и тем	6	2
161	в беседе	2	2
162	и того	1	2
163	в этих	2	2
164	жизни с	1	2
165	не в	6	2
166	самое время	2	2
167	по крайней	1	2
