N	3gram	Propp_Isto_4	Poddanst
1	не только в	2	4
2	в том числе	1	2
3	и не только	1	2
4	в северной америке	1	2
5	но и в	1	2
6	и если бы	1	2
7	не только это	1	2
8	мы видим в	1	1
9	что в этом	1	1
10	нет никакого сомнения	1	1
11	но и другие	1	1
12	и не может	1	1
13	совершенно ясно что	1	1
14	за то что	1	1
15	в качестве исторической	1	1
16	вместе с тем	1	1
17	и то что	5	1
18	так же как	12	1
19	если бы мы	1	1
20	по сравнению с	3	1
21	главным образом на	1	1
22	не только как	1	1
23	не в том	1	1
24	и вот как	1	1
25	никакого сомнения что	2	1
26	с другой стороны	4	1
27	общения человека с	1	1
28	не может быть	4	1
29	и пр есть	1	1
30	то что происходит	1	1
31	мы должны в	1	1
32	и тем самым	1	1
33	мы знаем что	7	1
34	тем более что	1	1
35	в большинстве случаев	1	1
36	на пути к	1	1
37	он живет в	1	1
38	и т д	24	1
