N	3gram	Tiupa_Anal_1	Freidism
1	с точки зрения	4	11
2	по отношению к	5	8
3	во всяком случае	1	7
4	не может быть	16	7
5	в самом деле	2	6
6	в зависимости от	1	4
7	то же время	6	4
8	в то же	8	4
9	в данном случае	2	4
10	для того чтобы	3	3
11	в таком случае	3	3
12	бы то ни	3	3
13	в собственном смысле	1	3
14	и тот же	1	3
15	и той же	1	3
16	один и тот	1	3
17	в свою очередь	1	3
18	в конечном счете	4	3
19	одной и той	1	3
20	связь с другими	1	2
21	то же самое	2	2
22	что же касается	1	2
23	то или иное	1	2
24	до сих пор	1	2
25	и не может	4	2
26	в отличие от	6	2
27	по своему содержанию	1	2
28	но в то	2	2
29	не могут быть	2	2
30	а с другой	1	2
31	во всех своих	1	2
32	в этом отношении	2	2
33	во внешнем мире	2	2
34	то ни было	3	2
35	с одной стороны	3	2
36	внешнего мира с	1	1
37	в объекте в	1	1
38	нет и не	2	1
39	или хотя бы	1	1
40	но прежде всего	1	1
41	в изолированно взятой	1	1
42	а вовсе не	1	1
43	это означает что	2	1
44	по меньшей мере	1	1
45	равно как и	1	1
46	таком случае это	1	1
47	как раз и	1	1
48	душевной жизни человека	1	1
49	из настоящего в	1	1
50	того что мы	1	1
51	по отношению ко	1	1
52	на самом же	1	1
53	по аналогии с	1	1
54	из того что	3	1
55	может и должно	1	1
56	в основе своей	2	1
57	по крайней мере	1	1
58	нуждается в объекте	1	1
59	в коем случае	2	1
60	влияние на все	1	1
61	во внутренней речи	1	1
62	не в его	1	1
63	далеко не всегда	2	1
64	ни в коем	2	1
65	принимают участие в	1	1
66	на первый взгляд	1	1
67	и не могут	1	1
68	и на всех	1	1
69	как будто бы	1	1
70	все без исключения	1	1
71	в такой же	1	1
72	одни и те	1	1
73	себя и не	1	1
74	только в его	1	1
75	собственном смысле слова	1	1
76	не остается ничего	2	1
77	в глубине души	1	1
78	может быть ничего	1	1
79	и все же	2	1
80	имеем в виду	1	1
81	то что мы	1	1
82	в сознании или	1	1
83	коем случае не	2	1
84	о том что	3	1
85	и те же	1	1
86	той или иной	6	1
87	но и не	4	1
88	или во всяком	1	1
89	мы имеем в	1	1
90	смысле этого слова	1	1
91	в этом смысле	1	1
92	социальной ситуации в	1	1
93	части нашей работы	1	1
94	самом же деле	1	1
95	быть не может	3	1
96	как и ее	1	1
97	в том что	9	1
98	но не может	1	1
99	при этом как	1	1
100	бытия с его	1	1
