N	2gram	Tiupa_Disk_1	Sotsiolo
1	истории литературы	1	10
2	в том	23	5
3	в этом	15	5
4	более чем	2	3
5	не только	28	3
6	и в	16	3
7	о литературе	2	3
8	не в	7	3
9	в его	7	3
10	за пределы	2	2
11	но и	14	2
12	и мы	1	2
13	было бы	1	2
14	к которому	2	2
15	в смысле	1	2
16	только в	7	2
17	дело не	2	2
18	по природе	5	2
19	далеко не	10	2
20	в результате	1	2
21	в литературоведении	2	2
22	тем более	1	2
23	том что	19	2
24	в частности	9	2
25	как будто	1	2
26	то что	5	2
27	или даже	2	2
28	и что	2	2
29	еще не	14	2
30	таким образом	3	2
31	это и	1	2
32	отношению к	9	2
33	в конце	1	2
34	что в	4	2
35	может быть	17	2
36	как бы	5	2
37	по отношению	9	2
38	очевидно что	1	2
39	и заключается	1	2
40	то же	7	2
41	крайней мере	2	1
42	спросить о	1	1
43	могло и	1	1
44	право на	1	1
45	противном случае	1	1
46	наконец в	1	1
47	по себе	3	1
48	в мире	1	1
49	не должна	1	1
50	сказать и	2	1
51	в этой	2	1
52	отнюдь не	8	1
53	более не	1	1
54	и должны	1	1
55	выходит за	1	1
56	даже не	1	1
57	на все	1	1
58	с другой	10	1
59	литературы как	1	1
60	субъект может	1	1
61	это не	3	1
62	науки о	1	1
63	именно в	3	1
64	в чем	1	1
65	все же	3	1
66	в противном	1	1
67	один из	3	1
68	и есть	2	1
69	перед нами	3	1
70	в то	3	1
71	тем же	1	1
72	жанра и	2	1
73	еще и	1	1
74	только то	1	1
75	а с	5	1
76	том как	1	1
77	тем что	3	1
78	в наше	2	1
79	вопросом о	1	1
80	и как	6	1
81	в процессе	5	1
82	что он	4	1
83	прежде всего	11	1
84	объекта и	1	1
85	в них	4	1
86	так и	8	1
87	не было	7	1
88	одной стороны	9	1
89	те же	1	1
90	но только	1	1
91	научной мысли	1	1
92	и не	11	1
93	в любой	1	1
94	искусство слова	1	1
95	никогда не	2	1
96	наше время	2	1
97	зависит от	2	1
98	мы не	1	1
99	это как	1	1
100	со своими	1	1
101	же время	4	1
102	развития и	1	1
103	и о	4	1
104	далеко еще	4	1
105	как и	16	1
106	между собой	2	1
107	или нет	1	1
108	с помощью	1	1
109	иначе говоря	2	1
110	мы должны	1	1
111	в сущности	2	1
112	но она	1	1
113	образом в	1	1
114	в связи	1	1
115	и его	2	1
116	в этих	1	1
117	литературного развития	1	1
118	связи с	4	1
119	или не	1	1
120	хотя бы	3	1
121	в целом	4	1
122	не может	9	1
123	в своей	5	1
124	строгом значении	2	1
125	и должно	1	1
126	не от	2	1
127	а в	5	1
128	как совокупность	1	1
129	что она	1	1
130	о том	8	1
131	входящие в	1	1
132	в области	1	1
133	и потому	3	1
134	он ни	2	1
135	в котором	5	1
136	в строгом	3	1
137	точке зрения	1	1
138	исторической поэтики	1	1
139	жанр как	2	1
140	словесного творчества	1	1
141	на что	1	1
142	столь же	3	1
143	всяком случае	1	1
144	собой не	1	1
145	когда мы	1	1
146	в силу	5	1
147	он говорит	1	1
148	в область	1	1
149	должно было	1	1
150	в конечном	1	1
151	что это	1	1
152	новое и	1	1
153	ли не	3	1
154	система не	1	1
155	же самое	2	1
156	с одной	9	1
157	может служить	1	1
158	но не	11	1
159	в виде	1	1
160	в данном	5	1
161	между тем	4	1
162	но как	2	1
163	и по	2	1
164	что на	1	1
165	и остаются	1	1
166	конечном счете	1	1
167	по крайней	2	1
168	можно принять	1	1
169	и более	1	1
170	том и	1	1
171	во всяком	2	1
172	в каждом	2	1
173	они не	2	1
