N	3gram	Tiupa_Lite_2	EvropaiC
1	в том что	5	16
2	по отношению к	3	10
3	с точки зрения	3	8
4	на самом деле	1	7
5	для того чтобы	1	6
6	о том что	2	4
7	в конце концов	1	4
8	с другой стороны	4	4
9	в этом случае	2	4
10	тем не менее	2	4
11	не может быть	7	4
12	в целом ряде	1	3
13	и то что	1	3
14	в данном случае	3	3
15	в то же	9	2
16	бы то ни	1	2
17	с одной стороны	6	2
18	из того же	1	2
19	то ни было	1	2
20	а с другой	1	2
21	что же касается	1	2
22	ничего общего с	1	2
23	он не может	1	2
24	во всех этих	1	2
25	только то что	1	2
26	то же время	9	2
27	вместе с тем	1	2
28	в нашем случае	1	2
29	в свою очередь	1	2
30	а в том	1	1
31	по существу он	1	1
32	и культуры в	1	1
33	в данный момент	1	1
34	не свидетельствует о	1	1
35	самом деле есть	1	1
36	приводит к тому	1	1
37	в том числе	2	1
38	тогда как при	1	1
39	с лица земли	1	1
40	до тех пор	1	1
41	во многих отношениях	1	1
42	которые не могут	1	1
43	тем самым все	1	1
44	из того что	1	1
45	культуры которые не	1	1
46	так и от	1	1
47	не только не	1	1
48	не в том	1	1
49	исходит из того	1	1
50	при этом однако	1	1
51	вдруг оказывается что	1	1
52	есть не более	1	1
53	к тому что	1	1
54	но с другой	3	1
55	то же самое	1	1
56	для этого необходимо	1	1
57	и не может	1	1
58	том что только	1	1
59	и то же	2	1
60	за то что	2	1
61	состоит в том	4	1
62	по тем же	1	1
63	однако это не	1	1
64	а так как	1	1
65	всего что на	1	1
66	но и его	1	1
67	как мы видели	1	1
68	и некоторые другие	1	1
69	нет и не	1	1
70	в равной мере	1	1
71	все то что	1	1
72	том числе и	1	1
73	не говоря уже	2	1
74	в себе и	1	1
75	тогда как сам	1	1
76	является одним из	1	1
77	я не могу	1	1
78	то есть в	1	1
79	говоря уже о	2	1
80	одно и то	2	1
81	этом случае мы	1	1
82	при этом у	1	1
83	по крайней мере	2	1
