N	2gram	Losev_Dial_1	Mirosoze
1	может быть	17	30
2	не только	13	29
3	и в	18	28
4	не может	12	28
5	но и	7	25
6	а не	14	25
7	он не	3	24
8	в этом	12	20
9	не было	6	18
10	у него	1	17
11	не в	6	16
12	потому что	14	16
13	это –	24	16
14	в ней	3	15
15	в своей	2	15
16	переходит в	1	15
17	и есть	16	14
18	никогда не	9	14
19	в нем	16	13
20	и он	5	12
21	и это	2	12
22	он –	18	12
23	в самом	3	11
24	для него	2	11
25	и не	30	11
26	в своем	5	10
27	было бы	12	10
28	что в	13	10
29	в мире	2	10
30	прежде всего	10	10
31	что он	11	10
32	был бы	1	10
33	и потому	3	10
34	и все	3	10
35	но он	1	9
36	и его	1	9
37	не есть	40	9
38	в его	3	9
39	есть лишь	1	9
40	из самых	1	8
41	в котором	4	8
42	но не	4	8
43	не был	2	7
44	менее всего	1	7
45	но в	6	7
46	в себе	11	7
47	быть может	4	7
48	в конце	4	7
49	любви к	1	7
50	к нему	8	7
51	того что	2	7
52	должна быть	3	6
53	он сам	5	6
54	в которой	1	6
55	в этой	1	6
56	все в	1	6
57	только в	3	6
58	вместе с	1	6
59	все это	11	6
60	человек и	1	6
61	в том	9	6
62	нет и	1	5
63	если он	1	5
64	это не	9	5
65	как и	2	5
66	не могут	1	5
67	добра и	1	5
68	дважды два	1	5
69	то что	13	5
70	на поверхности	1	5
71	и я	1	5
72	– не	11	5
73	мира и	1	5
74	и зла	1	5
75	отношения к	3	4
76	это и	4	4
77	и этот	1	4
78	есть не	3	4
79	отношение к	5	4
80	чем его	1	4
81	веру в	1	4
82	не к	1	4
83	не как	2	4
84	и по	1	4
85	в них	3	4
86	в этих	5	4
87	точки зрения	17	4
88	в их	3	4
89	в которых	2	4
90	к ней	4	4
91	она не	6	4
92	мог бы	2	4
93	что и	3	4
94	значит что	14	4
95	один из	3	4
96	уже не	2	4
97	уже в	1	4
98	есть уже	1	4
99	ни с	6	4
100	а в	5	4
101	и вместе	1	4
102	нет в	1	4
103	всю жизнь	1	4
104	и там	1	4
105	с этой	2	4
106	от него	4	4
107	не знает	2	4
108	небо и	1	4
109	его не	6	3
110	к богу	3	3
111	с этим	2	3
112	когда он	1	3
113	бы и	2	3
114	и еще	3	3
115	на том	1	3
116	и вот	6	3
117	на этом	2	3
118	и с	5	3
119	то есть	1	3
120	его в	1	3
121	в жизни	1	3
122	для них	1	3
123	мир в	1	3
124	том что	9	3
125	но если	5	3
126	– один	1	3
127	не имеет	15	3
128	– все	6	3
129	ничего не	17	3
130	природы в	1	3
131	к тому	4	3
132	в ее	1	3
133	учение о	11	3
134	только и	4	3
135	все его	1	3
136	в него	2	3
137	это очень	1	3
138	себя в	1	3
139	конечно не	3	3
140	не так	1	3
