N	4gram	Vygotskiy__4	Stilisti
1	одно и то же	6	4
2	и то же слово	3	2
3	одни и те же	3	2
4	не что иное как	1	2
5	все больше и больше	1	2
6	но для того чтобы	1	2
7	одной и той же	4	2
8	итак мы видим что	1	1
9	к одной и той	2	1
10	одного и того же	5	1
11	отношений которые существуют между	1	1
12	о котором мы говорили	1	1
13	одна и та же	1	1
14	уже содержит в себе	1	1
15	в собственном смысле слова	1	1
16	мы никогда не сможем	1	1
17	само по себе не	1	1
18	одному и тому же	4	1
19	но вместе с тем	2	1
20	играет решающую роль в	1	1
21	к одному и тому	4	1
22	которые являются как бы	1	1
23	одну и ту же	1	1
24	ответа на вопрос о	1	1
25	одном и том же	1	1
26	при этом не только	1	1
27	одним и тем же	3	1
28	с нашей точки зрения	2	1
