N	2gram	Losev_Prob_4	Otkroven
1	у него	1	22
2	и в	20	19
3	у достоевского	4	19
4	но и	14	13
5	и не	28	13
6	в этом	9	12
7	человека в	3	11
8	не в	13	11
9	не только	24	11
10	может быть	9	11
11	а не	7	11
12	человека и	1	10
13	вопрос о	1	10
14	в нем	5	10
15	и все	8	10
16	в самой	4	9
17	прежде всего	11	9
18	не было	3	9
19	никогда не	1	9
20	потому что	15	9
21	он был	3	8
22	и он	2	8
23	ивана карамазова	1	7
24	он всегда	1	7
25	в его	3	7
26	он не	2	7
27	до конца	1	7
28	ни с	4	7
29	нет ничего	3	7
30	великом инквизиторе	1	6
31	о великом	2	6
32	как и	6	6
33	все это	9	6
34	отношение к	1	5
35	в том	20	5
36	в самом	2	5
37	в этой	4	5
38	для него	3	5
39	в россии	1	5
40	достоевского и	1	5
41	а в	4	5
42	то что	15	5
43	достоевского все	1	4
44	достоевского есть	1	4
45	в преступлении	1	4
46	с его	2	4
47	все в	3	4
48	достоевского не	1	4
49	все эти	16	4
50	на земле	2	4
51	что не	4	4
52	в идиоте	2	4
53	человеческих отношений	4	4
54	не может	5	4
55	в романах	2	4
56	т е	1	4
57	того чтобы	2	4
58	человек и	1	4
59	и его	10	4
60	всегда есть	4	4
61	что в	3	4
62	только и	5	4
63	и есть	4	3
64	в бесах	1	3
65	достоевского в	1	3
66	о том	5	3
67	еще не	7	3
68	к нему	3	3
69	преступлении и	1	3
70	было бы	14	3
71	того что	1	3
72	когда он	1	3
73	что он	8	3
74	и ее	4	3
75	в себе	12	3
76	и вот	1	3
77	не могут	1	3
78	для того	3	3
79	это было	2	3
80	это не	7	3
81	никто не	2	3
82	могут быть	1	3
83	как бы	4	3
84	романах достоевского	1	3
85	с ним	4	3
86	и от	6	3
87	в этих	5	3
88	хотя бы	7	3
89	в своих	1	3
90	и наказании	1	3
91	он прежде	1	2
92	и с	7	2
93	и то	2	2
94	в ее	5	2
95	умирает в	1	2
96	так и	10	2
97	и о	5	2
98	по себе	11	2
99	природы все	1	2
100	и на	3	2
101	природы и	1	2
102	совсем не	1	2
103	и все-таки	1	2
104	не все	1	2
105	что и	3	2
106	достоевский прежде	1	2
107	что они	2	2
108	в истории	3	2
109	как к	1	2
110	в своем	3	2
111	и нет	1	2
112	все же	2	2
113	и к	3	2
114	в этот	1	2
115	не очень	2	2
116	и потому	7	2
117	с богом	1	2
118	человека все	1	2
119	в которой	2	2
120	он в	1	2
121	учение о	3	2
122	так что	6	2
123	ничего и	1	2
124	уже в	4	2
125	в единстве	1	2
126	с чем	1	2
127	что для	1	2
128	ведь это	1	2
129	он весь	1	2
130	так как	5	2
131	тем что	3	2
132	в других	2	2
133	даже и	13	2
134	в другом	3	2
135	его в	2	2
136	сказать что	7	2
137	с тем	4	2
138	и очень	5	2
139	чем в	1	2
140	для человека	1	2
141	должно быть	1	2
142	достоевского но	1	2
143	достоевского нет	1	2
144	том что	12	2
145	что есть	1	2
146	человека к	1	2
147	от человека	1	2
148	и против	1	2
149	для всякого	2	2
150	что же	1	2
151	не могли	2	2
152	в человеческом	2	2
153	можно ли	3	2
154	не имеет	4	2
155	и для	4	2
156	ничего не	1	2
157	в антропологии	1	2
158	и ни	5	2
159	к ней	2	2
160	и любовь	1	2
161	ничто не	1	2
162	ли сказать	2	2
163	не есть	12	2
164	жизни в	2	2
165	легенда о	1	2
166	в своей	4	2
167	что все	1	2
168	всего в	1	2
169	к этой	1	2
170	хотя и	5	2
171	но в	8	2
172	смысле слова	15	1
173	и это	2	1
174	также и	13	1
175	можно и	1	1
176	чтобы не	2	1
177	связана с	1	1
178	в виду	6	1
179	сам по	6	1
180	л толстого	1	1
181	всего более	1	1
182	можно наметить	1	1
183	на самом	5	1
184	кто хочет	1	1
185	тем же	1	1
186	нет никакой	4	1
187	уже с	1	1
