N	2gram	Medvedev_V_1	slovoVRo
1	в романе	4	46
2	и в	26	39
3	может быть	22	37
4	и т	23	35
5	и его	6	33
6	т п	9	33
7	то есть	1	26
8	не только	25	24
9	и не	19	22
10	но и	10	21
11	не может	17	20
12	в нем	6	19
13	в этом	26	16
14	все это	10	16
15	так и	5	15
16	а не	7	14
17	как в	1	13
18	в процессе	16	13
19	в пределах	5	13
20	во всех	6	12
21	в истории	1	11
22	вовсе не	3	10
23	не в	6	9
24	со своим	2	9
25	таким образом	31	8
26	прежде всего	13	8
27	слова и	1	8
28	точки зрения	3	8
29	еще не	2	7
30	с его	3	7
31	в него	1	7
32	в этих	1	7
33	для него	8	7
34	с ним	1	7
35	никогда не	4	7
36	могут быть	5	7
37	как мы	1	7
38	в его	14	7
39	и даже	2	7
40	и потому	2	7
41	как бы	5	7
42	но не	2	6
43	в своем	8	6
44	все же	5	6
45	и к	3	6
46	но в	2	6
47	все эти	6	6
48	так сказать	2	6
49	в них	4	6
50	в слове	3	6
51	как и	7	6
52	она не	3	6
53	в значительной	3	6
54	жизни и	3	6
55	например в	3	5
56	героя и	1	5
57	и слова	1	5
58	человека в	2	5
59	это не	7	5
60	том что	8	5
61	по себе	2	5
62	мышления и	1	5
63	не могут	7	5
64	той или	1	5
65	мира и	3	5
66	с другой	11	5
67	романа в	1	5
68	один из	5	5
69	в том	15	5
70	с ними	4	5
71	с одной	2	5
72	конечно не	1	5
73	уже не	1	5
74	и их	3	5
75	одной стороны	2	5
76	или иной	2	5
77	в плане	5	5
78	и для	2	5
79	только в	7	5
80	романа и	1	5
81	для нас	1	5
82	от него	1	5
83	и все	1	5
84	и наконец	2	5
85	в зависимости	6	4
86	его не	3	4
87	по отношению	7	4
88	отношение к	1	4
89	всех этих	2	4
90	то же	10	4
91	слова не	1	4
92	художественный образ	5	4
93	его в	3	4
94	входит в	1	4
95	с другими	2	4
96	на почве	1	4
97	в новое	1	4
98	ни в	1	4
99	слова к	1	4
100	не менее	2	4
101	в то	6	4
102	одна из	4	4
103	в основе	1	4
104	эти формы	1	4
105	же время	5	4
106	или как	1	4
107	зависимости от	5	4
108	что оно	3	4
109	здесь не	1	4
110	для этого	1	4
111	наконец в	1	4
112	дело с	1	4
113	и других	1	4
114	этой категории	1	4
115	даже и	3	4
116	и др	9	4
117	себя и	1	4
118	и мир	3	4
119	в той	1	4
120	в основном	5	4
121	а в	3	4
122	слова с	1	4
123	отношению к	7	4
124	в таком	1	4
125	ту же	2	3
126	как это	12	3
127	п все	1	3
128	единство и	1	3
129	человека и	3	3
130	говорить о	2	3
131	в чем	2	3
132	сама по	1	3
133	стороны и	2	3
134	перед нами	4	3
135	и как	3	3
136	не приходится	2	3
137	бы и	6	3
138	и социальной	2	3
139	на этом	1	3
140	материала и	1	3
141	лишь в	2	3
142	еще раз	1	3
143	не столько	2	3
144	идеологического творчества	2	3
145	его от	2	3
146	связи с	4	3
147	этом отношении	13	3
148	в ней	2	3
149	и дальше	2	3
150	а также	1	3
151	между тем	5	3
152	что и	3	3
153	даже на	1	3
154	в свете	1	3
155	быть и	1	3
156	всех его	2	3
157	этого процесса	1	3
158	или даже	1	3
159	у него	6	3
160	отметить что	2	3
161	в особенности	2	3
162	и создает	1	3
163	в свою	1	3
164	может иметь	1	3
165	связано с	1	3
166	смысла и	1	3
167	материал в	1	3
168	и от	3	3
169	но это	1	3
170	что в	10	3
171	из себя	2	3
172	хотя бы	19	3
173	сказать что	5	3
174	авантюрного романа	1	3
175	одновременно и	1	3
176	во всяком	1	3
177	новое время	1	2
178	можно говорить	1	2
179	одним из	5	2
180	также и	2	2
181	в сфере	2	2
182	оно входит	1	2
183	это и	6	2
184	именно к	1	2
185	но она	1	2
186	с ее	1	2
187	по замыслу	1	2
188	подчеркнуть что	2	2
189	всех сторон	1	2
190	не был	1	2
