N	3gram	Kanaev_Sov_1	Problema
1	с точки зрения	5	8
2	в том что	1	8
3	в связи с	1	7
4	тем не менее	2	5
5	по крайней мере	1	4
6	что иное как	1	3
7	в настоящее время	2	3
8	в этом смысле	1	3
9	может быть только	1	3
10	с одной стороны	1	3
11	в новое время	1	3
12	не что иное	1	3
13	дело в том	1	2
14	по отношению к	1	2
15	равно как и	1	2
16	до сих пор	1	2
17	бы то ни	1	2
18	в данном случае	1	2
19	не может быть	4	2
20	во всяком случае	2	2
21	но все же	1	2
22	такой же мере	1	1
23	в дальнейшем и	1	1
24	же мере в	1	1
25	на самом деле	1	1
26	в самом деле	1	1
27	и вообще на	1	1
28	в древней греции	1	1
29	не будет ли	1	1
30	по аналогии с	1	1
31	xix в и	1	1
32	в и в	1	1
33	можно было бы	1	1
34	все же в	1	1
35	то ни было	1	1
36	тот факт что	1	1
37	ничего общего не	1	1
38	и в этом	1	1
39	друг на друга	1	1
40	в такой же	1	1
41	и что она	1	1
42	то же время	1	1
43	но тем не	1	1
44	при этом само	1	1
45	что в ней	1	1
46	не имеет с	1	1
47	с самого начала	3	1
48	и до сих	1	1
49	ни о каком	1	1
50	той или иной	1	1
51	в то же	1	1
52	который как бы	1	1
53	и все же	1	1
54	по его мнению	1	1
55	но никогда не	1	1
56	общего не имеет	1	1
