N	2gram	Bakhtin_sl_1	formyVre
1	и в	41	50
2	то есть	26	33
3	в романе	21	32
4	в этом	12	25
5	в нем	30	24
6	человека в	1	17
7	и его	14	16
8	в литературе	1	16
9	прежде всего	8	15
10	как мы	8	14
11	и не	16	14
12	в его	13	13
13	вовсе не	7	13
14	как раз	2	13
15	по существу	3	12
16	так и	11	12
17	то же	14	11
18	мы уже	2	11
19	таким образом	9	11
20	может быть	14	11
21	но в	8	10
22	с его	4	9
23	все эти	9	9
24	роль в	2	9
25	не только	16	9
26	в то	14	9
27	ничего не	4	9
28	же время	12	9
29	в том	3	9
30	в других	3	9
31	в особенности	8	9
32	и др	14	9
33	и т	28	8
34	того же	6	8
35	и на	14	8
36	в самом	5	8
37	ни в	1	8
38	т п	23	8
39	его жизни	1	8
40	но и	16	8
41	и их	1	8
42	как и	4	8
43	жизни и	1	8
44	так сказать	5	7
45	характер и	1	7
46	и во	3	7
47	не было	3	7
48	в условиях	2	7
49	героя и	1	7
50	например в	2	6
51	время в	1	6
52	во всех	17	6
53	как в	8	6
54	с этим	3	6
55	все же	7	6
56	лишь в	4	6
57	это не	6	6
58	первый тип	1	6
59	и того	1	6
60	в их	4	6
61	так как	3	6
62	с ее	4	6
63	в ее	2	6
64	связи с	2	6
65	в жизни	1	6
66	у него	3	6
67	в частности	2	6
68	не может	14	6
69	так же	2	6
70	в результате	3	6
71	и все	4	6
72	и до	1	5
73	время как	2	5
74	еще не	4	5
75	но не	2	5
76	этого типа	2	5
77	и речи	2	5
78	и у	2	5
79	не в	7	5
80	он не	3	5
81	всех этих	4	5
82	значение в	1	5
83	жизни но	2	5
84	в основе	5	5
85	того чтобы	1	5
86	точки зрения	16	5
87	не могло	3	5
88	в разных	3	5
89	только и	1	5
90	могут быть	19	5
91	в пределах	14	5
92	если бы	1	5
93	романа в	3	5
94	для того	2	5
95	истории романа	1	5
96	в основном	3	5
97	и другие	1	5
98	и то	2	4
99	и это	1	4
100	роман в	2	4
101	мы и	2	4
102	конечно и	2	4
103	в ней	4	4
104	в своем	3	4
105	конечно не	3	4
106	европейского романа	3	4
107	то время	2	4
108	романа но	2	4
109	время и	2	4
110	и с	4	4
111	в них	6	4
112	том что	2	4
113	в котором	2	4
114	здесь на	1	4
115	в процессе	4	4
116	потому что	2	4
117	чужого мира	1	4
118	здесь не	2	4
119	жизнь и	1	4
120	и следовательно	7	4
121	могло быть	1	4
122	только в	6	4
123	между этими	2	4
124	и проч	2	4
125	характерно что	2	4
126	в роман	19	4
127	именно как	2	4
128	влияние на	1	4
129	до конца	12	4
130	нет ничего	1	4
131	в той	10	4
132	все это	5	4
133	между собой	2	4
134	кроме того	4	4
135	и для	4	4
136	судьбы и	1	4
137	себе самому	1	4
138	жизни поэтому	3	3
139	по преимуществу	4	3
140	не имеют	1	3
141	а как	2	3
142	есть не	1	3
143	мы не	2	3
144	в сущности	13	3
145	в виду	1	3
146	к концу	1	3
147	хотя и	2	3
148	в себе	3	3
149	и те	2	3
150	его но	3	3
151	вследствие этого	1	3
152	все ее	1	3
153	в определенном	1	3
154	при этом	6	3
155	вообще не	3	3
156	одно и	2	3
157	в основу	1	3
158	его в	3	3
159	входит в	4	3
160	и других	3	3
161	с другими	5	3
162	и дает	1	3
163	для них	2	3
164	и уже	1	3
165	и вне	1	3
166	между ними	2	3
167	в этих	2	3
168	в отношении	6	3
169	мы говорили	1	3
170	и разновидности	1	3
171	xviii века	2	3
172	друг друга	3	3
173	этом отношении	1	3
174	не могут	3	3
175	героев и	1	3
176	к тому	3	3
177	формы и	3	3
178	романа мы	1	3
179	все его	4	3
180	нас в	2	3
181	разновидности романа	3	3
182	романа как	2	3
183	что и	1	3
184	в форме	1	3
185	один из	4	3
186	романа и	5	3
187	мы видим	2	3
188	одной из	3	3
189	поэтому и	3	3
190	и ее	3	3
191	с одной	4	3
192	со всеми	1	3
193	в качестве	3	3
194	только на	2	3
195	же в	1	3
196	в начале	1	3
197	был бы	2	3
198	в одном	2	3
199	до сих	2	3
200	именно в	3	3
201	себя и	1	3
202	что не	1	3
203	более того	3	3
204	быть только	2	3
205	а не	15	3
206	этим определяются	1	3
207	мира в	1	3
208	на фоне	7	3
209	вместе с	1	3
210	и потому	4	3
211	подхода к	5	3
212	да и	1	3
213	сих пор	2	3
214	например у	1	3
215	или в	8	3
216	еще более	5	3
217	а в	6	3
218	всеми его	1	3
219	не знает	1	3
220	сказать что	2	3
221	авантюрного романа	1	3
222	громадное влияние	1	3
223	они не	1	3
224	к этому	2	3
225	в таком	1	3
226	во всяком	7	3
227	смысле слова	2	2
228	также и	3	2
229	же как	2	2
230	тех же	1	2
231	к своей	2	2
232	к другому	1	2
233	которыми он	1	2
234	той же	2	2
235	эта форма	3	2
236	но она	1	2
237	они были	2	2
238	момент в	1	2
239	в широком	2	2
240	в различных	1	2
241	только два	1	2
242	а только	1	2
243	не входит	1	2
244	можно прямо	1	2
245	нет и	1	2
246	в истории	3	2
247	же и	2	2
248	стороны и	1	2
249	и нет	1	2
250	и к	5	2
251	мир и	1	2
252	от этого	2	2
253	в этот	1	2
254	в целом	2	2
255	момент его	3	2
256	выражение в	3	2
257	как бы	12	2
258	широком смысле	2	2
259	как оно	3	2
260	не как	4	2
261	по всем	1	2
262	поэтому оно	1	2
263	уже не	2	2
264	и по	2	2
265	уже сказали	2	2
266	что все	2	2
267	было бы	3	2
268	на почве	4	2
269	рядом с	4	2
270	чем в	1	2
271	автора и	4	2
272	места в	1	2
273	для него	3	2
274	в своей	7	2
275	он должен	1	2
276	с точки	8	2
277	место в	1	2
278	не к	1	2
279	в отличие	1	2
280	в которых	1	2
281	точку зрения	3	2
282	но он	2	2
283	друг другу	2	2
284	том же	4	2
285	самого начала	1	2
286	дело в	1	2
287	весь роман	1	2
288	нем в	3	2
289	все действие	1	2
290	никогда не	3	2
291	того и	1	2
292	в самой	1	2
293	с большой	1	2
294	те моменты	1	2
295	фоне которого	1	2
296	в другую	1	2
297	во всем	1	2
298	так называемый	1	2
299	не столь	1	2
300	точном смысле	1	2
301	в каком	1	2
302	все то	1	2
303	есть только	1	2
304	во все	1	2
305	той или	9	2
306	оно не	6	2
307	правда не	2	2
308	во всякой	1	2
309	но по	2	2
310	этого целого	1	2
311	подходе к	1	2
312	романа во	1	2
313	романе в	3	2
314	с самого	1	2
315	и иные	1	2
316	смысле но	1	2
317	те же	2	2
318	здесь как	1	2
319	ту же	4	2
320	и вообще	2	2
321	с ним	7	2
322	или иной	9	2
323	повторяем в	1	2
324	а также	2	2
325	в значительной	1	2
326	во втором	1	2
327	там где	4	2
328	того что	3	2
329	довлеет себе	1	2
330	быть и	4	2
331	явления в	1	2
332	в стороне	1	2
333	второй тип	1	2
334	до наших	1	2
335	есть в	1	2
336	если мы	2	2
337	речи в	4	2
338	его и	3	2
339	ни с	1	2
340	он весь	2	2
341	но повторяем	1	2
342	с этими	2	2
343	от различных	1	2
344	отношение к	7	2
345	к ним	1	2
346	отличие от	1	2
347	существенную роль	1	2
348	резко и	1	2
349	романе мы	1	2
350	не были	3	2
351	и даже	6	2
352	с другой	5	2
353	далеко не	5	2
354	и прежде	1	2
355	одной стороны	4	2
356	он только	1	2
357	жизнь в	2	2
358	что мы	1	2
359	с помощью	1	2
360	вступает в	1	2
361	но оно	3	2
362	прямо сказать	1	2
363	бытовой мир	1	2
364	его на	1	2
365	этого момента	1	2
366	к своему	6	2
367	влияния на	3	2
368	в данном	3	2
369	в романах	2	2
370	в течение	1	2
371	в это	1	2
372	слова и	13	2
373	жизни или	1	2
374	здесь в	4	2
375	вне его	2	2
376	в более	1	2
377	не является	2	2
378	одна из	2	2
379	и может	3	2
380	в точном	1	2
381	для нас	2	2
382	лишь как	3	2
383	у них	2	2
384	почти вовсе	5	2
385	эти особенности	1	2
386	поэтому все	1	2
387	хотя бы	3	2
388	личности и	1	2
389	и бытовой	2	2
390	совершенно не	2	2
391	равно как	1	2
392	в свою	3	2
393	на один	2	2
394	в которой	4	2
395	характера но	1	2
396	и эта	2	2
397	и развертывается	1	1
398	его моменты	1	1
399	сохраняет свое	1	1
400	одним из	4	1
401	и через	1	1
402	связана с	2	1
403	таков первый	1	1
404	играют в	1	1
405	он может	2	1
406	и есть	1	1
407	далее и	1	1
408	из самых	1	1
409	его же	3	1
410	иметь место	1	1
411	в зависимости	3	1
412	из всех	1	1
413	со всех	1	1
414	романного жанра	7	1
415	для своего	1	1
