N	3gram	Propp_Isto_4	Freidism
1	не может быть	4	7
2	в большинстве случаев	1	5
3	мы знаем что	7	4
4	в зависимости от	1	4
5	в данном случае	3	4
6	можно сказать что	1	4
7	как мы видели	3	4
8	на этот вопрос	2	3
9	то же самое	2	2
10	до сих пор	5	2
11	и не может	1	2
12	в таких случаях	2	2
13	но мы знаем	2	2
14	наступления половой зрелости	1	2
15	может быть и	1	2
16	так и в	2	2
17	не могут быть	1	2
18	это и есть	1	2
19	в узком смысле	1	2
20	тем не менее	2	2
21	мы уже знаем	1	2
22	мы видели что	3	2
23	и с помощью	1	2
24	сравнению с ними	1	1
25	и может быть	1	1
26	авторитет и власть	1	1
27	мы видим в	1	1
28	говорит об этом	2	1
29	ответить на этот	1	1
30	что в данном	1	1
31	в этом случае	3	1
32	как и все	1	1
33	между ними существует	1	1
34	мы знаем теперь	1	1
35	с ним а	1	1
36	мы должны признать	1	1
37	друг на друга	1	1
38	много лет тому	1	1
39	во всех этих	1	1
40	в более позднее	1	1
41	не менее он	1	1
42	в основе своей	1	1
43	более позднее время	1	1
44	остановимся только на	1	1
45	таким образом и	1	1
46	чтобы ответить на	1	1
47	но вместе с	1	1
48	же как он	2	1
49	как будто бы	1	1
50	по сравнению с	3	1
51	так и с	1	1
52	же относится к	1	1
53	лет тому назад	1	1
54	одни и те	1	1
55	то что он	2	1
56	из них не	1	1
57	то что как	1	1
58	что же это	1	1
59	мы можем утверждать	1	1
60	это не совсем	1	1
61	мы не можем	1	1
62	в то время	1	1
63	он должен был	2	1
64	о том что	2	1
65	ничего общего с	1	1
66	в чем состоит	1	1
67	и те же	1	1
68	в связь с	1	1
69	но все же	4	1
70	же это за	1	1
71	но и по	1	1
72	мы имеем в	2	1
73	и как мы	1	1
74	как мы видим	1	1
75	смысле этого слова	2	1
76	еще на одну	1	1
77	интересен тем что	1	1
78	и т д	24	1
79	что и в	1	1
80	ту роль которую	1	1
81	но в чем	1	1
82	только с помощью	1	1
83	и за другими	1	1
84	знаем что в	1	1
