N	4gram	Bakhtin_Fr_2	Problemy
1	в то же время	6	12
2	и в то же	2	5
3	но в то же	3	3
4	мы уже говорили что	1	2
5	на протяжении всего романа	1	2
6	на самом же деле	1	1
7	один и тот же	1	1
8	как мы уже говорили	2	1
9	но даже и не	1	1
10	не входит в нашу	1	1
11	или во всяком случае	1	1
12	до сих пор еще	2	1
13	в большей или меньшей	3	1
14	во всяком случае в	1	1
15	мы можем сказать что	1	1
16	все более и более	1	1
17	входит в нашу задачу	1	1
18	большей или меньшей степени	3	1
19	то вполне понятно что	1	1
