N	4gram	Trubetskoy_1	Psycholo
1	заключается в том что	2	7
2	в том случае если	4	4
3	одной и той же	1	4
4	только в том случае	1	4
5	в том что он	1	3
6	же самое что и	1	2
7	то же самое что	1	2
8	представление о том что	1	2
9	в то время как	1	2
10	в том виде как	1	2
11	в то же время	2	2
12	таким образом и на	1	1
13	и не может быть	1	1
14	но именно в этой	1	1
15	одно и то же	1	1
16	в том что при	1	1
17	что же касается до	2	1
18	бы то ни было	2	1
19	с этой точки зрения	1	1
20	на то что для	1	1
21	так же трудно как	1	1
22	из поколения в поколение	1	1
23	а между тем в	1	1
24	том виде как оно	1	1
25	на все эти вопросы	1	1
26	одного и того же	3	1
27	в том что все	1	1
28	мы указывали на то	1	1
29	указывали на то что	1	1
30	нечего и говорить что	3	1
31	приводит к тому что	1	1
32	не играет никакой роли	1	1
