N	3gram	Medvedev_U_1	Problemy
1	до сих пор	2	7
2	сам по себе	1	5
3	то же время	3	5
4	в то же	3	5
5	не может быть	4	4
6	друг с другом	1	4
7	в самом деле	2	4
8	более или менее	1	3
9	с другой стороны	3	3
10	но в то	1	3
11	в художественном творчестве	2	2
12	в этом смысле	2	2
13	в конце концов	2	2
14	по себе еще	1	2
15	никогда не может	1	2
16	на то что	1	2
17	но прежде всего	1	1
18	а между тем	2	1
19	у пушкина но	1	1
20	же время не	1	1
21	но он уже	1	1
22	большей или меньшей	1	1
23	то же самое	2	1
24	в ухо ивану	1	1
25	по крайней мере	2	1
26	хотя бы и	2	1
27	является одним из	1	1
28	бы то ни	3	1
29	литературного жанра в	1	1
30	в которых слово	1	1
31	то что было	1	1
32	то ни было	3	1
33	с одной стороны	1	1
34	в той же	1	1
35	проблем связанных с	1	1
36	не входит в	1	1
37	так или иначе	1	1
38	и в их	1	1
39	в большей или	1	1
40	или меньшей степени	1	1
41	дело конечно не	1	1
42	все же не	1	1
43	в точном смысле	1	1
44	он прежде всего	1	1
45	само по себе	1	1
46	еще один пример	1	1
47	можно сказать что	1	1
48	конечно не в	1	1
49	в том что	2	1
