N	3gram	Potebnia_M_1	formyVre
1	и т п	2	11
2	с точки зрения	3	8
3	в связи с	1	7
4	для того чтобы	2	7
5	не только в	3	5
6	то же время	3	4
7	в то же	3	4
8	но и в	4	3
9	и в этом	6	3
10	в том что	13	3
11	и т д	4	3
12	а следовательно и	1	2
13	до сих пор	1	2
14	сами по себе	1	2
15	друг на друга	1	2
16	не было бы	1	2
17	в этом отношении	1	2
18	это значит что	1	2
19	человек чувствует себя	1	2
20	друг от друга	2	2
21	жизни но и	1	1
22	каждая из этих	1	1
23	и того же	2	1
24	и телесной жизни	1	1
25	но эти формы	1	1
26	то есть как	1	1
27	и для самого	1	1
28	на самом деле	1	1
29	как и во	1	1
30	так что в	2	1
31	в этом телесном	1	1
32	и не только	1	1
33	только в том	6	1
34	можно видеть в	1	1
35	друг другу то	1	1
36	между тем как	1	1
37	а так как	3	1
38	то что в	1	1
39	вместе с этим	1	1
40	он не мог	1	1
41	с тех пор	1	1
42	с этой точки	1	1
43	нисколько не противоречит	1	1
44	важную роль в	1	1
45	как и в	2	1
46	с одной стороны	3	1
47	самой жизни и	1	1
48	себя и других	1	1
49	но при этом	1	1
50	до того что	1	1
51	все более и	2	1
52	могут быть сведены	1	1
53	то что на	1	1
54	с другой стороны	5	1
55	не может быть	9	1
56	именно в том	1	1
57	этой точки зрения	1	1
58	в себе самом	1	1
59	и как бы	3	1
60	в то время	1	1
61	в свою очередь	4	1
62	ни для кого	1	1
63	о том что	1	1
64	в одном из	1	1
65	с тем что	3	1
66	с самого начала	3	1
67	между ними нет	1	1
68	как бы ни	2	1
69	более и более	2	1
70	но все же	1	1
71	одного и того	2	1
72	очень важную роль	1	1
73	если же в	1	1
74	к тому что	2	1
75	между словом и	1	1
76	с нею в	1	1
77	что и в	3	1
78	как мы видели	1	1
79	и вопрос о	1	1
