N	2gram	Bakhtin_sl_1	Freidism
1	таким образом	9	24
2	и не	16	23
3	не может	14	20
4	точки зрения	16	19
5	прежде всего	8	18
6	в этом	12	15
7	в его	13	15
8	с помощью	1	14
9	в душе	1	13
10	может быть	14	13
11	и его	14	12
12	все эти	9	11
13	как и	4	11
14	с точки	8	11
15	как бы	12	11
16	но в	8	10
17	его в	3	10
18	с ним	7	10
19	как мы	8	10
20	так и	11	10
21	и потому	4	10
22	с его	4	9
23	во всех	17	9
24	и в	41	9
25	то же	14	8
26	не только	16	8
27	он не	3	8
28	в своей	7	8
29	еще не	4	8
30	оно и	4	8
31	только в	6	8
32	так как	3	8
33	все это	5	8
34	и все	4	8
35	все что	1	8
36	в самом	5	7
37	мы уже	2	7
38	отношение к	7	7
39	и наконец	4	7
40	ни в	1	7
41	мы видели	1	7
42	те же	2	7
43	к нему	5	7
44	один из	4	7
45	тот же	1	7
46	всяком случае	5	7
47	сказать что	2	7
48	во всяком	7	7
49	в ней	4	6
50	за пределы	4	6
51	так сказать	5	6
52	и с	4	6
53	на протяжении	2	6
54	и ее	3	6
55	точку зрения	3	6
56	того что	3	6
57	для него	3	6
58	вовсе не	7	6
59	никогда не	3	6
60	хотя бы	3	6
61	совершенно не	2	6
62	на самом	2	5
63	и на	14	5
64	и к	5	5
65	в этой	1	5
66	не в	7	5
67	в то	14	5
68	в каком	1	5
69	могут быть	19	5
70	в себя	1	5
71	для этого	1	5
72	можно сказать	2	5
73	для того	2	5
74	в большинстве	10	5
75	большинстве случаев	6	5
76	и прежде	1	5
77	а в	6	5
78	но и	16	5
79	связь с	2	5
80	с этим	3	5
81	его жизни	1	5
82	в свою	3	5
83	смысле слова	2	4
84	в зависимости	3	4
85	той же	2	4
86	связанных с	4	4
87	мы не	2	4
88	в которой	4	4
89	зависимости от	3	4
90	но не	2	4
91	все же	7	4
92	не было	3	4
93	из этих	3	4
94	в пределах	14	4
95	сознания с	1	4
96	в нем	30	4
97	всех этих	4	4
98	на этом	2	4
99	то ни	1	4
100	связанные с	3	4
101	при этом	6	4
102	с другими	5	4
103	в жизни	1	4
104	не менее	1	4
105	в основе	5	4
106	же время	12	4
107	потому что	2	4
108	и для	4	4
