N	2gram	Bakhtin_sl_2	Tvorches
1	и в	39	20
2	в романе	46	15
3	и т	35	13
4	в романах	3	13
5	романах достоевского	1	13
6	не только	24	13
7	т д	2	11
8	никогда не	7	11
9	как бы	7	11
10	таким образом	8	10
11	в то	4	10
12	в его	7	10
13	и его	33	9
14	и не	22	9
15	ивана карамазова	1	8
16	при этом	7	8
17	и с	9	8
18	в том	5	8
19	может быть	37	8
20	в этом	16	8
21	прежде всего	8	8
22	но и	21	8
23	то же	4	7
24	это не	5	7
25	же время	4	7
26	не может	20	7
27	xix века	4	7
28	что в	3	7
29	в целом	1	6
30	как и	6	6
31	в своей	1	6
32	что он	2	6
33	так и	15	6
34	в конце	1	6
35	у него	3	6
36	в бытовой	3	6
37	именно в	2	6
38	а не	14	6
39	в основном	4	6
40	все это	16	6
41	например в	5	5
42	еще не	7	5
43	и на	4	5
44	но не	6	5
45	все же	6	5
46	героев достоевского	1	5
47	в этой	1	5
48	если он	1	5
49	и сам	1	5
50	в мире	1	5
51	то есть	26	5
52	о том	2	5
53	и даже	7	5
54	но это	3	5
55	мы не	2	4
56	все эти	6	4
57	отнюдь не	1	4
58	как в	13	4
59	хотя и	2	4
60	но в	6	4
61	за собой	1	4
62	не в	9	4
63	творчество достоевского	1	4
64	в дальнейшем	2	4
65	на его	2	4
66	что она	1	4
67	об этом	1	4
68	ничего не	1	4
69	в духе	1	4
70	в известной	1	4
71	в чем	3	4
72	творческого процесса	1	4
73	а в	4	4
74	и потому	7	4
75	и от	3	4
76	героя в	3	4
77	том что	5	4
78	одним из	2	3
79	человека и	3	3
80	х годов	2	3
81	он сам	1	3
82	по отношению	4	3
83	в одной	1	3
84	отношению к	4	3
85	в себе	2	3
86	в нем	19	3
87	он не	2	3
88	у пушкина	1	3
89	в плане	5	3
90	человека в	5	3
91	его в	4	3
92	но уже	1	3
93	в самом	1	3
94	в их	2	3
95	место в	1	3
96	заставляет нас	1	3
97	тем что	1	3
98	одна из	4	3
99	и это	1	3
100	с ним	7	3
101	до сих	2	3
102	между тем	3	3
103	романа и	5	3
104	уже не	5	3
105	для него	7	3
106	так как	4	3
107	то что	2	3
108	как у	1	3
109	и др	4	3
110	что не	1	3
111	превращается в	1	3
112	в свете	3	3
113	xx века	1	3
114	вместе с	2	3
115	сих пор	2	3
116	один из	5	3
117	не является	1	3
118	но зато	1	3
119	жизни в	2	3
120	одной из	1	3
121	в своих	1	3
122	к этому	1	3
123	в таком	4	3
124	как известно	1	2
125	не должны	1	2
126	от этой	1	2
127	и есть	1	2
128	по преимуществу	1	2
129	проникает в	2	2
130	говорить о	3	2
131	роман и	2	2
132	героя романа	1	2
133	в быту	5	2
134	в истории	11	2
135	нас за	1	2
136	и наконец	5	2
137	но эта	2	2
138	для которого	1	2
139	т п	33	2
140	так сказать	6	2
141	характер в	1	2
142	и по	1	2
143	особенно в	2	2
144	достоевского и	1	2
145	такой же	1	2
146	и еще	1	2
147	в такой	1	2
148	не столько	3	2
149	в отличие	12	2
150	точку зрения	3	2
151	влечет за	1	2
152	не менее	4	2
153	xviii века	1	2
154	как о	2	2
155	на него	2	2
156	в процессе	13	2
157	карамазова и	1	2
158	а во	1	2
159	другой стороны	1	2
160	в роман	3	2
161	могут быть	7	2
162	как по	1	2
163	так в	2	2
164	приводит к	1	2
165	роль в	2	2
166	действующих лиц	2	2
167	и что	1	2
168	не стоит	1	2
169	что его	1	2
170	и только	1	2
171	всяком случае	2	2
172	в ту	1	2
173	все время	1	2
174	в литературе	1	2
175	всякого рода	1	2
176	с ними	5	2
177	только в	5	2
178	и ее	1	2
179	точка зрения	2	2
180	всегда с	1	2
181	себя в	8	2
182	уже в	2	2
183	в виде	2	2
184	или даже	3	2
185	и других	4	2
186	его и	2	2
187	в одном	2	2
188	вовсе не	10	2
189	может служить	1	2
190	друг друга	1	2
191	только с	2	2
192	отличие от	13	2
193	рядом с	3	2
194	в свой	2	2
195	эти наблюдения	1	2
196	с другим	1	2
197	с другой	5	2
198	не было	2	2
199	зависит от	1	2
200	в частности	1	2
201	но прежде	2	2
202	только для	1	2
203	в наше	1	2
204	более того	2	2
205	сюжета и	1	2
206	в силах	1	2
207	в основе	4	2
208	ни к	2	2
209	с другими	4	2
210	к самому	1	2
211	образ человека	1	2
212	героя и	5	2
213	было показано	1	2
214	и без	1	2
215	сам в	1	2
216	включает в	2	2
217	во всяком	3	2
218	с новыми	1	1
219	и рассказы	1	1
220	от личности	1	1
221	ту же	3	1
222	нем нет	1	1
223	можно говорить	2	1
224	речь идет	1	1
