N	3gram	Bakhtin_KF_1	Istorich
1	не может быть	11	7
2	тем не менее	2	6
3	в большинстве случаев	1	4
4	на то что	1	4
5	в том что	2	4
6	дело в том	1	3
7	по отношению к	22	3
8	то же самое	1	3
9	в иной мир	1	3
10	в зависимости от	1	2
11	бы то ни	2	2
12	у меня есть	1	2
13	вместе с тем	1	2
14	и тем не	1	2
15	здесь мы имеем	2	2
16	то ни было	2	2
17	же самое что	1	2
18	один и тот	1	2
19	мы не можем	1	2
20	само по себе	1	2
21	и должен быть	1	2
22	вопрос о том	2	2
23	и тот же	1	2
24	никогда не было	1	1
25	уже не может	2	1
26	мы никогда не	1	1
27	не зависит от	1	1
28	равно как и	1	1
29	в этом смысле	3	1
30	в соответствии с	2	1
31	в средние века	1	1
32	влечет за собой	1	1
33	только тогда когда	1	1
34	в нем и	3	1
35	одно из проявлений	1	1
36	не было и	1	1
37	но все это	1	1
38	и здесь я	1	1
39	это значило бы	2	1
40	о нем но	1	1
41	в противном случае	1	1
42	она может быть	1	1
43	может быть только	7	1
44	в том случае	1	1
45	при таком положении	1	1
46	в значительной степени	1	1
47	здесь мы видим	1	1
48	одном случае мы	1	1
49	между ним и	1	1
50	это может быть	1	1
51	но в то	1	1
52	то что уже	1	1
53	не содержит в	1	1
54	а не как	1	1
55	в одном случае	1	1
56	не в том	1	1
57	это не значит	1	1
58	со стороны его	1	1
59	тем или иным	1	1
60	быть не может	1	1
61	мы не найдем	1	1
62	на этом пути	1	1
63	том случае когда	1	1
64	не само по	1	1
65	никогда не может	1	1
66	формальной а не	1	1
67	в первом случае	1	1
68	того или иного	3	1
69	это отнюдь не	1	1
70	как одно из	1	1
71	но и здесь	3	1
72	смысле этого слова	1	1
73	если бы не	1	1
74	уже не только	1	1
75	во всем его	2	1
76	к тому что	1	1
77	не значит что	1	1
78	и этот момент	1	1
79	дело не в	1	1
80	и в этом	3	1
81	для того чтобы	1	1
82	а именно в	1	1
83	ясно что это	1	1
84	что и в	1	1
85	по себе а	1	1
