N	3gram	Bakhtin_sl_1	RusskieA
1	в том что	1	15
2	и т д	5	9
3	в этом случае	2	5
4	о том что	1	4
5	к тому что	2	4
6	с точки зрения	8	3
7	а иногда и	1	3
8	тем не менее	1	3
9	не только по	1	2
10	но и на	1	2
11	в какой степени	1	2
12	но это не	1	2
13	может быть и	1	2
14	это не значит	1	2
15	в других случаях	2	2
16	и некоторые другие	1	2
17	в свою очередь	2	2
18	не только на	2	2
19	в большинстве случаев	6	2
20	привело к тому	1	2
21	прямо и непосредственно	4	1
22	а следовательно и	1	1
23	еще далеко не	1	1
24	с таким же	1	1
25	иногда совпадая с	1	1
26	в противном случае	1	1
27	как мы видим	1	1
28	но и по	1	1
29	которые как известно	1	1
30	на самом же	1	1
31	в этом отношении	1	1
32	и т п	23	1
33	можно было бы	2	1
34	представителями которого в	1	1
35	каждый из этих	1	1
36	у него нет	1	1
37	не только в	2	1
38	так что они	1	1
39	в отличие от	1	1
40	и в этом	2	1
41	во всех этих	1	1
42	одни и те	1	1
43	потому что по	1	1
44	во всяком случае	5	1
45	и в том	2	1
46	самом же деле	1	1
47	такая точка зрения	1	1
48	о том же	2	1
49	в то время	2	1
50	в одном из	1	1
51	между тем это	1	1
52	можно сказать что	1	1
53	и те же	1	1
54	как мы уже	2	1
55	мы видим что	1	1
56	у нас в	1	1
57	друг с другом	2	1
58	и по формам	1	1
59	как и в	1	1
60	между прочим в	1	1
61	в данном случае	3	1
62	как мы видели	1	1
