N	4gram	Savitsky_E_1	KulturaY
1	одного и того же	1	2
2	заключается в том что	2	2
3	в то же время	14	2
4	в тех случаях когда	1	2
5	и во многих других	1	1
6	рассматривать как одно из	1	1
7	чтобы ответить на этот	1	1
8	поскольку речь идет о	1	1
9	ответить на этот вопрос	1	1
10	и в то же	8	1
11	только в том случае	1	1
12	в том случае если	1	1
13	с этой точки зрения	5	1
14	не говоря уже об	1	1
15	что в тех случаях	1	1
16	в том смысле что	1	1
17	и с точки зрения	1	1
18	во всех этих случаях	1	1
19	состоит вовсе не в	1	1
