N	4gram	Bakhtin_sl_1	Freidism
1	в то же время	12	4
2	одной и той же	1	3
3	в узком смысле слова	1	2
4	бы то ни было	1	2
5	но в то же	4	2
6	и связанных с ними	1	2
7	но во всяком случае	1	2
8	остановимся на нескольких примерах	1	1
9	мы имеем в виду	1	1
10	на самом же деле	1	1
11	или во всяком случае	2	1
12	в какой степени не	1	1
13	ни в какой степени	1	1
14	как мы уже сказали	2	1
15	но чаще всего они	1	1
16	и не могут быть	1	1
17	оставаясь в пределах одной	1	1
18	и потому не может	1	1
19	одни и те же	1	1
20	в направлении к нему	1	1
21	так и в отношении	1	1
22	строится в направлении к	1	1
23	во всех его многообразных	1	1
24	точек зрения оценок и	1	1
