N	3gram	Tiupa_Narr_1	Vvedenie
1	и т д	1	36
2	для того чтобы	3	20
3	о том что	2	12
4	в том что	5	12
5	тем не менее	3	8
6	не может быть	4	8
7	в то же	4	6
8	в самом деле	2	6
9	то же время	4	6
10	до сих пор	2	6
11	с другой стороны	1	5
12	с одной стороны	1	4
13	во всяком случае	2	4
14	само по себе	1	4
15	по отношению к	3	4
16	не только в	6	4
17	в этом отношении	3	4
18	что иное как	1	4
19	в данном случае	8	4
20	по крайней мере	1	4
21	большей или меньшей	1	3
22	в конечном итоге	1	3
23	можно сказать что	2	3
24	в известном смысле	2	3
25	и в самом	1	3
26	именно в этом	1	3
27	но все же	1	3
28	как мы видели	1	3
29	подобно тому как	3	2
30	в центре внимания	2	2
31	мы уже знаем	1	2
32	и со стороны	1	2
33	дело не с	1	2
34	может быть и	1	2
35	как она есть	1	2
36	состоит в том	2	2
37	еще при жизни	1	2
38	той или иной	4	2
39	в связи с	2	2
40	в этих случаях	1	2
41	точно так же	1	2
42	по тем или	1	2
43	дело в том	2	2
44	тем или иным	2	2
45	с точки зрения	1	2
46	к этому времени	1	2
47	то же самое	2	2
48	в соответствии с	4	2
49	имея в виду	1	1
50	связи с этим	1	1
51	сам по себе	1	1
52	друг для друга	2	1
53	во всех его	1	1
54	какой бы то	1	1
55	и то что	1	1
56	бы то ни	1	1
57	в ней есть	1	1
58	дело не только	1	1
59	как это было	1	1
60	один из наиболее	1	1
61	мы имеем дело	2	1
62	одно и то	2	1
63	не с языком	1	1
64	того о чем	1	1
65	еще и потому	1	1
66	заключает в себе	2	1
67	потому что в	1	1
68	из того что	1	1
69	имеем дело с	2	1
70	и потому что	1	1
71	на свои вопросы	1	1
72	к тому что	1	1
73	обратим внимание на	1	1
74	и того же	1	1
75	как если бы	2	1
76	все что может	1	1
77	в частности в	1	1
78	могло бы составить	1	1
79	в первом случае	3	1
80	лишь в том	1	1
81	и то же	2	1
82	из этих двух	2	1
83	имеет дело не	1	1
84	как он сам	1	1
85	на самом деле	1	1
86	но в этом	1	1
87	жизни как она	1	1
88	в нем не	1	1
89	одного из наиболее	2	1
90	не только с	1	1
91	более или менее	1	1
92	быть и не	1	1
93	слова а не	1	1
94	как один из	1	1
95	одного и того	1	1
96	в свою очередь	2	1
97	значении этого термина	1	1
98	может быть не	2	1
99	в зависимости от	2	1
100	только потому что	1	1
101	в особенности в	1	1
102	но и в	2	1
103	или иной степени	1	1
104	в ряде случаев	1	1
105	уже не только	1	1
106	в отличие от	2	1
107	в тексте не	1	1
108	что не только	1	1
109	в принципе не	1	1
110	только то что	1	1
111	в той или	1	1
112	не то что	1	1
113	как раз в	2	1
114	того что может	1	1
115	в большей или	1	1
116	именно оно составляет	1	1
117	то ни было	1	1
118	она может быть	1	1
