N	3gram	Vygotskiy__4	Freidism
1	с точки зрения	4	11
2	по отношению к	1	8
3	во всяком случае	3	7
4	не может быть	1	7
5	в самом деле	7	6
6	в то же	1	4
7	мы знаем что	1	4
8	в душе человека	1	4
9	можно сказать что	1	4
10	на самом деле	5	4
11	как мы уже	1	4
12	то же время	1	4
13	с самого начала	5	3
14	в таком случае	1	3
15	одной и той	2	3
16	бы то ни	1	3
17	для того чтобы	19	3
18	и той же	2	3
19	в конечном счете	1	3
20	на этот вопрос	1	3
21	к тому чтобы	3	3
22	в свою очередь	1	3
23	с одной стороны	3	2
24	это и есть	3	2
25	к матери и	1	2
26	мы уже знаем	2	2
27	до сих пор	3	2
28	то ни было	1	2
29	может быть это	2	2
30	а с другой	1	2
31	на две группы	1	2
32	в конце концов	3	2
33	и не может	1	2
34	все то что	11	2
35	и есть та	1	2
36	точку зрения на	1	2
37	то же самое	6	2
38	о том что	10	1
39	мы не можем	1	1
40	книг и статей	1	1
41	сейчас же заметим	1	1
42	мы знаем о	1	1
43	они свидетельствуют о	1	1
44	не сомневаюсь что	1	1
45	самом деле если	1	1
46	из них не	1	1
47	только одна из	1	1
48	но вместо этого	1	1
49	же заметим что	1	1
50	или хотя бы	1	1
51	ни в каком	1	1
52	то обстоятельство что	1	1
53	а также и	1	1
54	из того что	1	1
55	не только не	2	1
56	до конца и	1	1
57	мы должны перейти	1	1
58	равно как и	1	1
59	мы должны признать	1	1
60	не может его	1	1
61	мы все время	2	1
62	в целом ряде	1	1
63	что и в	1	1
64	в этом смысле	1	1
65	что все эти	1	1
66	сводится к тому	2	1
67	содержания и формы	1	1
68	она не может	1	1
69	что он умер	1	1
70	для этого нужно	1	1
71	если мы обратимся	1	1
72	в которой мы	1	1
73	ничего общего с	1	1
74	в том что	12	1
75	все тот же	2	1
76	к выводу что	1	1
77	в то время	2	1
78	и т д	2	1
79	со всех сторон	1	1
80	всего они свидетельствуют	1	1
81	мы сейчас же	1	1
82	и может быть	4	1
83	в каком случае	1	1
84	я не сомневаюсь	1	1
85	ответить на этот	1	1
86	самом деле здесь	1	1
87	деле если мы	1	1
88	не было бы	1	1
89	мы обратимся к	1	1
90	а может быть	1	1
91	и поступки и	1	1
92	в каком направлении	1	1
93	говорить о том	3	1
94	если мы проследим	1	1
95	чтобы ответить на	1	1
96	то что мы	3	1
97	смысле этого слова	3	1
98	ее связь с	2	1
99	таком случае это	1	1
100	при этом как	1	1
101	бы он не	1	1
102	нам кажется что	1	1
103	и уже в	1	1
104	в глубине души	1	1
105	ни в какой	1	1
106	и о которых	1	1
107	или во всяком	1	1
108	мы имели дело	1	1
109	то что он	3	1
110	иметь дело с	1	1
111	быть не может	1	1
112	таким образом в	2	1
113	те же самые	2	1
114	роль которую играют	1	1
115	только то что	1	1
116	да и не	2	1
117	во всех этих	2	1
118	это как бы	1	1
119	мы никогда не	3	1
120	и что он	2	1
121	нет ни слова	1	1
122	и вот это	1	1
123	но и за	1	1
124	на первый взгляд	1	1
