N	2gram	Trubetskoy_1	Sotsiolo
1	все это	11	7
2	в том	30	5
3	в этом	12	5
4	и только	2	3
5	как же	1	3
6	для нас	3	3
7	не только	7	3
8	и в	23	3
9	не в	8	3
10	в его	5	3
11	но и	9	2
12	конце концов	4	2
13	было бы	3	2
14	к которому	1	2
15	исторического развития	2	2
16	должна быть	5	2
17	только в	6	2
18	далеко не	5	2
19	в результате	9	2
20	тем более	3	2
21	том что	19	2
22	в частности	2	2
23	как будто	5	2
24	то что	18	2
25	главным образом	1	2
26	и что	8	2
27	еще не	5	2
28	таким образом	31	2
29	это и	1	2
30	отношению к	9	2
31	в конце	4	2
32	что в	8	2
33	может быть	16	2
34	как бы	10	2
35	по отношению	9	2
36	очевидно что	3	2
37	и заключается	1	2
38	по существу	6	2
39	то же	4	2
40	друг от	6	1
41	крайней мере	1	1
42	что все	5	1
43	я и	1	1
44	же не	3	1
45	быть не	1	1
46	даже в	3	1
47	в мире	6	1
48	эти вопросы	1	1
49	в этой	6	1
50	тому что	2	1
51	отнюдь не	2	1
52	данный субъект	1	1
53	и должны	1	1
54	этой области	4	1
55	на все	5	1
56	для методологии	1	1
57	с другой	6	1
58	его в	5	1
59	данный человек	1	1
60	ним все	1	1
61	с ним	6	1
62	лучшем случае	1	1
63	это не	3	1
64	науки о	1	1
65	именно в	5	1
66	и история	1	1
67	том именно	1	1
68	все же	13	1
69	же теперь	1	1
70	один из	1	1
71	перед нами	1	1
72	психологии и	1	1
73	в то	6	1
74	что таким	2	1
75	тем же	2	1
76	и наконец	3	1
77	еще и	1	1
78	разрешить все	1	1
79	только то	2	1
80	а с	4	1
81	тем что	1	1
82	и как	1	1
83	и затем	1	1
84	в процессе	2	1
85	что эти	2	1
86	что он	7	1
87	тогда и	1	1
88	прежде всего	3	1
89	бы он	1	1
90	в них	2	1
91	так и	10	1
92	не было	2	1
93	одной стороны	2	1
94	те же	2	1
95	и не	8	1
96	говорит за	1	1
97	из себя	10	1
98	на тех	1	1
99	никогда не	4	1
100	на основании	1	1
101	зависит от	1	1
102	мы не	1	1
103	со своими	2	1
104	же время	2	1
105	ничего не	1	1
106	между собою	5	1
107	развития и	1	1
108	связь между	1	1
109	все эти	19	1
110	как и	9	1
111	между собой	4	1
112	или нет	1	1
113	бы в	3	1
114	для этого	7	1
115	этом не	1	1
116	в настоящее	2	1
117	иначе говоря	4	1
118	мы должны	4	1
119	остается в	1	1
120	их на	1	1
121	в сущности	2	1
122	благодаря тому	1	1
123	пришлось бы	2	1
124	образом в	3	1
125	конечно не	3	1
126	в связи	3	1
127	на первый	2	1
128	и его	1	1
129	в этих	3	1
130	связи с	4	1
131	от друга	6	1
132	или не	1	1
133	в лучшем	1	1
134	хотя бы	4	1
135	вступает в	1	1
136	в целом	5	1
137	никаких положительных	1	1
138	не может	17	1
139	в своей	1	1
140	только тогда	2	1
141	своих мыслей	1	1
142	не от	1	1
143	а в	3	1
144	тех кто	5	1
145	благодаря этому	1	1
146	что она	1	1
147	о том	7	1
148	развиваться в	3	1
149	так наз	1	1
150	в области	4	1
151	и потому	3	1
152	настоящее время	2	1
153	представить себе	2	1
154	но именно	1	1
155	в котором	2	1
156	никак не	1	1
157	между ними	2	1
158	и благодаря	1	1
159	конечно только	1	1
160	всему этому	3	1
161	все то	2	1
162	поставить и	1	1
163	может не	3	1
164	столь же	5	1
165	время в	1	1
166	всяком случае	2	1
167	и понимает	1	1
168	в силу	7	1
169	не без	2	1
170	что это	5	1
171	вовсе не	2	1
172	жизни он	1	1
173	же самое	1	1
174	будет тем	4	1
175	с одной	3	1
176	может служить	3	1
177	а между	8	1
178	но не	2	1
179	у него	5	1
180	в виде	4	1
181	в данном	3	1
182	между тем	12	1
183	но как	2	1
184	и по	3	1
185	только когда	1	1
186	что на	1	1
187	по крайней	1	1
188	это по	1	1
189	и более	2	1
190	том и	2	1
191	во всяком	2	1
192	и будет	2	1
193	в каждом	1	1
194	они не	2	1
