N	3gram	Savitsky_P_1	EvropaiE
1	с точки зрения	3	16
2	в то же	7	15
3	то же время	7	14
4	в отношении к	5	12
5	и в то	2	8
6	с одной стороны	3	8
7	одной стороны и	2	6
8	европы и азии	1	6
9	в том что	4	6
10	так же как	1	5
11	для того чтобы	1	5
12	не только в	4	4
13	и в этом	1	4
14	само по себе	1	4
15	в этом смысле	1	3
16	хотя бы и	1	3
17	можно думать что	1	3
18	в применении к	1	3
19	в известном смысле	1	3
20	друг с другом	1	3
21	во всяком случае	1	3
22	в некотором смысле	1	3
23	между тем в	1	3
24	в последние годы	1	3
25	заключает в себе	2	3
26	или хотя бы	1	2
27	в северной америке	2	2
28	в определенном смысле	1	2
29	и значительная часть	1	2
30	в расчете на	1	2
31	и в частности	1	2
32	но в то	1	2
33	заключается в том	2	2
34	по сравнению с	1	2
35	с другой стороны	1	2
36	вслед за тем	1	2
37	не может быть	1	2
38	в частности в	1	2
39	в большинстве случаев	1	2
40	в этом мире	1	1
41	что в этом	1	1
42	весьма вероятно что	1	1
43	untergang des abendlandes	1	1
44	чуть ли не	1	1
45	более или менее	1	1
46	во многих случаях	1	1
47	и в качестве	1	1
48	гораздо большей степени	4	1
49	образ россии не	1	1
50	старого света в	2	1
51	и не только	2	1
52	экономическое знание в	1	1
53	на коротко ли	1	1
54	в эту эпоху	1	1
55	русская революция есть	4	1
56	в грехе и	1	1
57	нужно помнить что	2	1
58	же время в	1	1
59	в отличие от	1	1
60	но и в	2	1
61	но нужно помнить	1	1
62	поскольку они являются	1	1
63	том числе и	1	1
64	в гораздо большей	4	1
65	эти последние в	1	1
66	между прочим на	1	1
67	в значительной мере	2	1
68	в последние тысячелетия	1	1
69	на долго на	1	1
70	ибо то что	1	1
71	следует понимать что	1	1
72	только в виде	1	1
73	к востоку от	1	1
74	по количеству осадков	1	1
75	лесной и земледельческий	1	1
76	мы отнюдь не	1	1
77	долго на коротко	1	1
78	в области техники	1	1
79	большей степени чем	1	1
80	было бы неправильно	1	1
81	в каком смысле	1	1
82	в полной мере	2	1
83	в качестве общего	1	1
84	в определенный момент	1	1
85	но также и	1	1
86	которую мы именуем	1	1
87	та или иная	1	1
88	и тем самым	1	1
89	закрывать глаза на	1	1
90	и тем более	1	1
91	именно потому что	1	1
92	другие народы мира	1	1
93	не более как	1	1
94	не только это	2	1
95	не явятся ли	1	1
96	и на путях	1	1
97	в пределах российского	1	1
98	в том числе	2	1
99	остается открытым для	1	1
100	но в северной	1	1
101	насколько можно судить	1	1
102	пределах российского мира	1	1
103	которая помогла бы	1	1
104	с разных точек	1	1
105	и т д	1	1
