N	3gram	Vygotskiy__2	Analitik
1	в том что	17	7
2	с другой стороны	2	5
3	о том что	4	5
4	по крайней мере	1	4
5	в свою очередь	2	4
6	как и в	2	4
7	и того же	1	3
8	в данном случае	4	3
9	то же время	2	3
10	не только не	1	3
11	в то же	2	3
12	одного и того	1	3
13	в этом отношении	5	3
14	крайней мере в	1	2
15	иметь дело с	3	2
16	в русской поэзии	1	2
17	не более чем	1	2
18	подобно тому как	2	2
19	при этом как	2	2
20	том что он	3	2
21	с точки зрения	10	2
22	одной и той	4	2
23	при этом он	1	2
24	в отличие от	1	2
25	в борьбе за	1	2
26	едва ли не	1	2
27	с одной стороны	1	2
28	не в самом	1	2
29	тем не менее	4	2
30	во всяком случае	2	2
31	в свое время	1	2
32	в конечном счете	3	2
33	том что по	1	2
34	можно сказать что	1	2
35	совершенно очевидно что	1	2
36	и той же	4	2
37	и может быть	1	1
38	том что при	1	1
39	а между тем	1	1
40	что иное как	1	1
41	то есть не	1	1
42	а потому и	1	1
43	на самом деле	5	1
44	в самом деле	11	1
45	искусство никогда не	1	1
46	в этом смысле	1	1
47	может быть признано	1	1
48	в этом случае	1	1
49	той же самой	2	1
50	как если бы	1	1
51	между тем в	1	1
52	до сих пор	5	1
53	с тем же	1	1
54	в таком случае	1	1
55	в зависимости от	1	1
56	что он не	2	1
57	при этом что	1	1
58	таким образом в	2	1
59	может и не	1	1
60	в сущности говоря	4	1
61	несмотря на свою	1	1
62	на этот вопрос	2	1
63	и без остатка	1	1
64	в основе своей	1	1
65	но и как	1	1
66	по себе а	1	1
67	от одного сознания	1	1
68	одного сознания к	1	1
69	сам по себе	4	1
70	в том чтобы	3	1
71	здесь мы имеем	1	1
72	в противоречие с	1	1
73	дело не с	1	1
74	тот факт что	1	1
75	принадлежат к числу	1	1
76	они принадлежат к	1	1
77	не могут быть	1	1
78	а с другой	1	1
79	имеем дело с	1	1
80	а не как	1	1
81	не в том	2	1
82	в связи с	1	1
83	в произведении искусства	1	1
84	что по крайней	1	1
85	понимается при этом	1	1
86	то есть от	1	1
87	для того чтобы	13	1
88	один и тот	1	1
89	того или иного	2	1
90	не менее чем	1	1
91	те же события	1	1
92	есть не что	1	1
93	не может быть	8	1
94	и русской литературе	1	1
95	в первом случае	1	1
96	само по себе	3	1
97	как нельзя лучше	1	1
98	тем что у	1	1
99	лишь тем что	1	1
100	и каким образом	1	1
101	именно потому что	1	1
102	художественное произведение есть	1	1
103	до тех пор	1	1
104	друг от друга	1	1
105	заключается в том	10	1
106	того же автора	1	1
107	не что иное	1	1
108	в особенности же	1	1
109	то что они	1	1
110	все это было	1	1
111	может быть определена	1	1
112	той же природы	1	1
113	что и в	3	1
114	мы и будем	1	1
115	и тот же	1	1
116	сознания к другому	1	1
