N	3gram	Trubetskoy_1	Otkroven
1	у него в	1	5
2	природы но и	1	3
3	для того чтобы	5	3
4	и в этом	2	2
5	не может быть	1	2
6	с тем что	1	2
7	нет ничего кроме	1	2
8	и никогда не	1	2
9	смысле этого слова	1	1
10	по сравнению с	2	1
11	подойти к этой	1	1
12	не в том	1	1
13	потому что в	1	1
14	друг к другу	1	1
15	все что связано	1	1
16	в самом деле	1	1
17	чтобы не иметь	1	1
18	все это было	1	1
19	как бы в	1	1
20	о том как	1	1
21	русский человек всегда	1	1
22	и все же	1	1
23	между этими двумя	2	1
24	людей но и	1	1
25	во всяком случае	6	1
26	после того как	1	1
27	о том что	4	1
28	в этом отношении	2	1
29	заключает в себе	2	1
30	в этот период	1	1
31	в том что	3	1
32	и в духовном	1	1
33	на то что	2	1
34	друг с другом	5	1
35	не имеет ни	1	1
