N	2gram	Losev_Vlad_1	Marksizm
1	точки зрения	2	34
2	может быть	6	26
3	и не	17	26
4	не может	6	24
5	и в	31	19
6	и его	7	19
7	таким образом	3	17
8	в этом	14	16
9	как мы	9	13
10	прежде всего	1	13
11	как и	4	12
12	и пр	1	12
13	так и	6	11
14	связи с	1	11
15	и для	2	11
16	самом деле	1	10
17	в нем	4	10
18	ни было	1	10
19	в самом	2	10
20	лишь в	2	9
21	только в	9	9
22	для него	7	9
23	в результате	2	9
24	бы то	1	8
25	все же	3	8
26	не только	24	8
27	при этом	2	8
28	то ни	1	8
29	друг друга	1	8
30	но и	19	8
31	то что	18	8
32	во всех	1	7
33	но в	12	7
34	все эти	3	7
35	и те	1	7
36	то же	6	7
37	в каждом	1	7
38	а не	1	7
39	в связи	3	7
40	так же	1	7
41	отнюдь не	3	6
42	кроме того	7	6
43	так сказать	1	6
44	мы не	1	6
45	и того	1	6
46	в науке	3	6
47	ничего не	3	6
48	и здесь	3	6
49	настоящее время	1	6
50	в его	12	6
51	на почве	1	6
52	в том	11	6
53	с помощью	1	6
54	в основном	1	6
55	в настоящее	1	6
56	другой стороны	3	6
57	того же	6	6
58	конечно не	2	5
59	не в	5	5
60	того чтобы	2	5
61	те же	1	5
62	и все	4	5
63	ясно что	2	5
64	в начале	3	5
65	в конце	9	5
66	вовсе не	5	5
67	с другой	3	5
68	за пределы	3	5
69	именно в	1	5
70	настоящего времени	1	5
71	до конца	1	5
72	мы знаем	2	5
73	и потому	6	5
74	до настоящего	1	5
75	хотя бы	2	5
76	к этому	6	5
77	во всяком	2	5
78	вопрос о	1	4
79	и на	3	4
80	нет и	2	4
81	как в	3	4
82	не будем	2	4
83	выражение в	1	4
84	и тот	2	4
85	здесь мы	3	4
86	не будет	1	4
87	было бы	2	4
88	не столько	2	4
89	мысли и	4	4
90	не менее	2	4
91	психологии в	1	4
92	в отношении	3	4
93	всех без	1	4
94	в ней	1	4
95	с самого	1	4
96	еще не	2	4
97	только на	3	4
98	от того	1	4
99	для того	2	4
100	далеко не	1	4
101	в данном	1	4
102	что же	5	4
103	тот же	3	4
104	а в	9	4
105	отношении к	1	4
106	жизни в	1	4
107	между ними	1	4
108	и эта	1	4
109	сказать что	7	4
110	что в	14	4
111	на самом	1	3
112	и есть	1	3
113	не имеют	1	3
114	по отношению	1	3
115	один и	2	3
116	в истории	4	3
117	и как	4	3
118	и к	6	3
119	в которой	4	3
120	но все	1	3
121	он не	10	3
122	в высшей	1	3
123	том что	14	3
124	в своей	4	3
125	в котором	6	3
126	место в	2	3
127	в то	8	3
128	же время	4	3
129	этом отношении	1	3
130	в области	1	3
131	не могут	1	3
132	же самое	1	3
133	не есть	1	3
134	и это	2	3
135	не существует	1	3
136	в дальнейшем	8	3
137	сводится к	1	3
138	одного из	1	3
139	можно сказать	6	3
140	с другими	1	3
141	конце концов	3	3
142	того что	2	3
143	одной из	2	3
144	и действительно	3	3
145	из них	2	3
146	в каком	2	3
147	не было	5	3
148	на этот	6	3
149	все это	5	3
150	смысле этого	1	3
151	и от	5	3
152	совершенно не	2	3
153	мы должны	2	3
154	они еще	1	3
155	это и	2	3
156	вполне понятно	1	3
157	ту же	1	2
158	одним из	2	2
159	этому нужно	2	2
160	мы уже	7	2
161	той же	2	2
162	не приходится	1	2
163	и он	3	2
164	свою очередь	1	2
165	первый план	2	2
166	в чем	2	2
167	то мы	3	2
168	и всего	1	2
