N	4gram	Vygotskiy__1	Myshleni
1	заключается в том что	3	6
2	одного и того же	1	4
3	в то время как	5	4
4	так же как и	1	4
5	состоит в том что	1	3
6	в собственном смысле слова	2	2
7	с этой точки зрения	4	2
8	одной и той же	3	2
9	в силу того что	2	2
10	того чтобы подойти к	1	1
11	совершенно так же как	1	1
12	для того чтобы подойти	1	1
13	в том числе и	1	1
14	указывает на то что	3	1
15	же как и в	1	1
16	отношении друг к другу	1	1
17	то мы увидим что	1	1
18	не что иное как	1	1
19	в этой области как	1	1
20	если мы скажем что	1	1
21	заключается в том чтобы	3	1
22	одному и тому же	1	1
23	заключается только в том	1	1
24	свидетельствовать о том что	1	1
25	в том чтобы понять	1	1
26	ни в какой степени	1	1
27	к одному и тому	1	1
28	во всяком случае в	2	1
29	одном и том же	1	1
30	в том что она	2	1
31	если принять во внимание	1	1
32	одним и тем же	1	1
