N	3gram	Propp_Isto_3	Analitik
1	в том что	5	7
2	по отношению к	2	7
3	с другой стороны	7	5
4	о том что	2	5
5	мы имеем дело	1	4
6	в свою очередь	1	4
7	как и в	2	4
8	в данном случае	3	3
9	не только не	2	3
10	к тому же	2	3
11	подобно тому как	1	2
12	с точки зрения	1	2
13	одной и той	1	2
14	с одной стороны	2	2
15	тем не менее	5	2
16	во всяком случае	2	2
17	и прежде всего	1	2
18	можно сказать что	1	2
19	и той же	1	2
20	должны были бы	1	1
21	что иное как	3	1
22	что они хотят	1	1
23	хотя и не	1	1
24	к этому же	2	1
25	а не с	1	1
26	из этих трех	1	1
27	на самом деле	1	1
28	в этом случае	5	1
29	как если бы	1	1
30	до сих пор	5	1
31	что он ничего	1	1
32	в таком случае	1	1
33	принимает на себя	1	1
34	но они не	1	1
35	это далеко не	1	1
36	на этот вопрос	1	1
37	и здесь мы	2	1
38	с тех пор	1	1
39	случае мы имеем	1	1
40	и не всегда	1	1
41	но в таком	1	1
42	здесь мы имеем	3	1
43	не только в	1	1
44	мы имеем не	2	1
45	и каждое из	1	1
46	и должно было	1	1
47	имеем дело с	1	1
48	так или иначе	1	1
49	не говорит и	1	1
50	в связи с	3	1
51	не входил в	1	1
52	в тех случаях	1	1
53	есть не что	1	1
54	не может быть	1	1
55	в одном из	2	1
56	в связь с	1	1
57	в себя и	1	1
58	и вступает в	1	1
59	друг от друга	1	1
60	заключается в том	1	1
61	тех случаях когда	1	1
62	в большинстве случаев	1	1
63	не что иное	3	1
64	он притворяется что	1	1
65	так что она	2	1
66	здесь не только	1	1
67	что и в	2	1
