N	2gram	Nazirov_Tv_1	DiskursI
1	в себе	2	19
2	при этом	7	17
3	в этом	6	16
4	как и	12	16
5	и в	21	16
6	в качестве	2	16
7	может быть	5	16
8	и не	7	15
9	а не	5	14
10	отличие от	2	12
11	то есть	12	12
12	в отличие	2	12
13	в частности	2	12
14	тогда как	1	11
15	но в	7	11
16	представляет собой	3	11
17	в мире	4	11
18	но и	3	11
19	не только	7	10
20	том что	11	10
21	своего рода	4	10
22	так и	2	9
23	не может	4	9
24	как в	8	8
25	в том	7	8
26	но не	3	7
27	в данном	2	7
28	в нем	3	7
29	ни в	1	7
30	не менее	6	7
31	прежде всего	4	7
32	то же	13	6
33	еще не	1	6
34	с его	11	6
35	данном случае	2	6
36	себя в	1	6
37	отнюдь не	5	6
38	все же	5	6
39	по мысли	1	6
40	в своей	4	6
41	тем самым	7	6
42	в своих	5	6
43	и на	7	5
44	в своем	4	5
45	в то	15	5
46	с другой	3	5
47	же время	12	5
48	что в	12	5
49	для него	6	5
50	то что	8	5
51	а с	1	5
52	я в	1	5
53	героя в	1	5
54	я и	3	4
55	в рассказе	3	4
56	по отношению	1	4
57	в этой	5	4
58	роль в	1	4
59	человека в	6	4
60	в основе	2	4
61	потому что	5	4
62	о том	6	4
63	одного из	2	4
64	времени в	13	4
65	с одной	1	4
66	одно из	1	4
67	в одном	1	4
68	картину мира	1	4
69	одной стороны	1	4
70	как бы	17	4
71	к его	1	4
72	к этому	2	4
73	отношению к	1	4
74	также и	1	3
75	чего не	1	3
76	и ее	1	3
77	принадлежит к	1	3
78	проявляется в	1	3
79	столь же	1	3
80	к жизни	2	3
81	перед нами	2	3
82	и как	4	3
83	и наконец	2	3
84	все эти	1	3
85	претендовать на	1	3
86	он не	8	3
87	подход к	1	3
88	его в	1	3
89	это не	4	3
90	соответствии с	3	3
91	жизни но	1	3
92	ведет к	2	3
93	одного и	1	3
94	в этих	2	3
95	в котором	6	3
96	не столько	2	3
97	не в	2	3
98	в русской	5	3
99	могут быть	2	3
100	мысль о	2	3
101	приводит к	2	3
102	еще в	2	3
103	в его	13	3
104	восходит к	1	3
105	но она	2	3
106	только в	5	3
107	и его	6	3
108	уже не	3	3
109	из них	2	3
110	в них	1	3
111	не было	1	3
112	не знает	2	3
113	мира в	2	3
114	было в	2	3
115	в творчестве	6	3
116	как будто	5	3
117	можно сказать	2	3
118	но это	5	3
119	и того	2	3
120	и все	6	3
121	жизни в	6	3
122	жизни а	1	3
123	жизни и	3	3
124	же как	1	2
125	того же	2	2
126	и это	1	2
127	по преимуществу	2	2
128	той же	3	2
129	я как	1	2
130	ивана петровича	1	2
131	место в	3	2
132	говорить о	1	2
133	в цикле	1	2
134	в ней	2	2
135	мы имеем	1	2
136	не нужно	2	2
137	время в	3	2
138	всякий раз	1	2
139	чехова в	1	2
140	первый взгляд	1	2
141	что как	2	2
142	как уже	1	2
143	лежит на	1	2
144	в целом	4	2
145	вследствие этого	1	2
146	в записках	4	2
147	в первую	1	2
148	в принципе	2	2
149	не к	1	2
150	у пушкина	2	2
151	заключает в	1	2
152	личности в	2	2
153	же касается	1	2
154	и с	3	2
155	натуральной школы	2	2
156	такой же	2	2
157	все это	10	2
158	на первый	1	2
159	пока еще	1	2
160	дело в	3	2
161	никогда не	3	2
162	жизни не	1	2
163	со своим	1	2
164	что на	1	2
165	в области	1	2
166	лирическим героем	1	2
167	с ее	3	2
168	но при	1	2
169	анекдот но	1	2
170	это еще	1	2
171	говорит об	2	2
172	по сути	4	2
173	в себя	2	2
174	времени и	4	2
175	живет в	2	2
176	представляющий собой	1	2
177	там же	3	2
178	первую очередь	1	2
179	между тем	1	2
180	русской литературе	4	2
181	что и	2	2
182	себя с	1	2
183	романа и	1	2
184	которая в	1	2
185	к их	1	2
186	слова не	1	2
187	к своим	1	2
188	наше время	2	2
189	рассказа не	1	2
190	именно в	2	2
191	с той	1	2
192	далеко не	3	2
193	творчестве чехова	1	2
194	в соответствии	3	2
195	стремится к	3	2
196	не на	1	2
197	вместе с	2	2
198	о чем	1	2
199	что же	1	2
200	в наше	2	2
201	в полном	1	2
202	картине мира	1	2
203	по природе	6	2
204	настоящим и	1	2
205	а в	6	2
206	может и	1	2
