N	2gram	Medvedev_I_1	VLabPisa
1	в этом	2	26
2	и в	1	25
3	и не	2	19
4	художественного творчества	1	18
5	все это	1	12
6	с другой	1	11
7	в художественном	1	10
8	что в	2	9
9	для него	1	9
10	и др	1	9
11	все эти	1	8
12	другой стороны	1	8
13	по отношению	1	7
14	произведения и	1	7
15	отношению к	1	7
16	художественном творчестве	1	6
17	так и	1	6
18	очевидно что	1	5
19	в целом	1	4
20	них не	1	4
21	в них	1	4
22	никогда не	1	4
23	должен быть	2	4
24	следующим образом	1	3
25	как о	1	3
26	значительной мере	1	3
27	утверждает что	1	3
28	в значительной	1	3
29	того что	1	3
30	по поводу	1	3
31	по существу	1	3
32	бы в	1	3
33	только что	1	3
34	пишет и	1	3
35	жизни и	1	3
36	говорить о	1	2
37	он не	2	2
38	если бы	1	2
39	того чтобы	1	2
40	а для	1	2
41	для того	1	2
42	что при	1	2
43	могло бы	1	2
44	что для	1	2
45	с а	1	2
46	самого себя	2	2
47	а в	1	2
48	о творчестве	1	2
49	с жизнью	1	1
50	и без	1	1
51	нам в	1	1
52	не слишком	1	1
53	и дети	1	1
54	и еще	1	1
55	понятий и	1	1
56	и творчества	1	1
57	этим и	1	1
58	а отсюда	1	1
59	вплоть до	1	1
60	так то	1	1
61	в основе	1	1
62	и сам	1	1
63	а по	1	1
64	автор не	1	1
65	и та	1	1
66	а также	1	1
67	стороны он	1	1
68	без этого	1	1
69	не дает	1	1
70	не случайно	1	1
71	тем что	1	1
72	а если	1	1
73	бы его	1	1
74	только для	1	1
75	о достоевском	2	1
76	этого писателя	1	1
77	это было	1	1
78	и идей	1	1
