N	4gram	Voloshinov_1	Formalny
1	в то же время	7	7
2	и не может быть	1	3
3	одни и те же	1	3
4	не может быть понято	1	3
5	и в то же	2	2
6	нет и не может	1	2
7	одного и того же	1	1
8	так а не иначе	1	1
9	и в жизни и	1	1
10	то или иное место	1	1
11	того социального коллектива в	1	1
12	иметь в виду что	1	1
13	одной и той же	2	1
14	социального коллектива в котором	1	1
15	в собственном смысле слова	1	1
16	о котором мы говорили	1	1
17	в зависимости от того	2	1
18	то же самое и	1	1
19	в жизни и в	1	1
20	может быть понято и	2	1
21	в виду прежде всего	1	1
22	с нашей точки зрения	1	1
23	вместе с тем и	2	1
24	к одной и той	1	1
25	в той же мере	1	1
