N	3gram	Berdyaev_M_2	Myslijsy
1	в том что	2	16
2	смысле этого слова	1	7
3	только тогда когда	1	7
4	по отношению к	2	5
5	сам по себе	1	5
6	от того что	3	5
7	но и в	1	4
8	не есть ни	1	4
9	то же что	1	4
10	потому что он	2	3
11	до сих пор	3	3
12	что он не	1	3
13	для того чтобы	4	3
14	не может быть	8	3
15	что и в	4	3
16	а между тем	1	2
17	подобно тому как	2	2
18	том что он	1	2
19	в этом отношении	1	2
20	не есть еще	1	2
21	и той же	2	2
22	как и в	2	2
23	к тому что	3	2
24	одной и той	2	2
25	сама по себе	1	2
26	это был уже	1	1
27	и в словах	1	1
28	в чем не	2	1
29	со страданием и	1	1
30	но он сам	1	1
31	потому что в	1	1
32	а не в	2	1
33	на самом деле	1	1
34	может быть назван	2	1
35	том что это	1	1
36	для себя и	1	1
37	было для него	1	1
38	друг друга не	1	1
39	в нем же	1	1
40	и та же	2	1
41	нельзя себе представить	1	1
42	а может быть	1	1
43	думать что человек	1	1
44	не сам по	1	1
45	это можно видеть	1	1
46	в человеческой жизни	1	1
47	к миру и	1	1
48	к соединению с	1	1
49	между тем в	1	1
50	его отношение к	4	1
51	она не знает	2	1
52	он уже не	1	1
53	за жизнь и	1	1
54	одна и та	2	1
55	может быть названо	1	1
56	как в самом	1	1
57	сам в себе	1	1
58	что человек может	1	1
59	не в силах	1	1
60	о том что	2	1
61	на то что	1	1
62	после того как	2	1
63	искать в них	1	1
64	именно потому что	1	1
65	жизнь и счастье	1	1
