N	2gram	Nazirov_Tv_2	Stilisti
1	и в	20	42
2	не только	13	27
3	как бы	11	27
4	прежде всего	8	22
5	но и	8	15
6	то же	7	15
7	и не	9	14
8	не может	7	12
9	может быть	8	12
10	как и	6	11
11	мы уже	1	11
12	и как	1	10
13	как мы	1	10
14	в этом	8	10
15	отнюдь не	4	10
16	при этом	8	9
17	мы не	4	9
18	общественной жизни	1	9
19	то что	3	9
20	в то	10	9
21	в себе	3	8
22	все же	5	8
23	таким образом	10	8
24	тем самым	4	8
25	эти слова	1	8
26	что же	1	8
27	и это	3	8
28	в которой	2	7
29	же время	7	7
30	потому что	7	7
31	а не	6	7
32	и от	4	7
33	и его	9	7
34	ничего не	4	7
35	никогда не	11	7
36	только в	2	7
37	и на	5	7
38	с его	1	7
39	было бы	1	7
40	так как	3	7
41	на его	4	6
42	так и	6	6
43	в нем	3	6
44	не в	4	6
45	в конце	6	6
46	во всех	1	6
47	но ведь	2	6
48	точку зрения	2	6
49	в этой	5	6
50	в процессе	2	6
51	в области	1	6
52	или иной	1	6
53	в свою	1	6
54	и с	8	5
55	и наконец	2	5
56	и является	1	5
57	и их	1	5
58	в сознании	1	5
59	как это	1	5
60	того или	1	5
61	вместе с	3	5
62	мы видели	1	5
63	той же	1	5
64	в его	10	5
65	тому что	1	5
66	а в	4	5
67	или иного	1	5
68	не является	3	5
69	уже в	2	5
70	так же	5	4
71	в обществе	1	4
72	что это	1	4
73	то есть	5	4
74	и без	2	4
75	так сказать	2	4
76	влияние на	1	4
77	его в	3	4
78	о своей	1	4
79	и к	1	4
80	все время	2	4
81	у нас	2	4
82	к тому	1	4
83	свою очередь	1	4
84	один из	3	4
85	а с	3	4
86	в каждом	1	4
87	уже не	3	4
88	на это	1	4
89	в самом	3	4
90	того времени	1	4
91	с самого	1	4
92	мы видим	4	4
93	не просто	1	4
94	но в	4	4
95	на него	2	4
96	о том	5	4
97	все это	6	4
98	себя в	2	4
99	самом деле	2	4
100	точка зрения	2	4
101	если б	1	4
102	можно было	1	4
103	если бы	4	4
104	самого начала	1	4
105	той или	1	4
106	то мы	1	3
107	нуждается в	1	3
108	или иное	1	3
109	и здесь	1	3
110	не знает	1	3
111	ведь в	1	3
112	еще не	5	3
113	и вот	1	3
114	общества и	1	3
115	и для	1	3
116	главным образом	1	3
117	о своем	1	3
118	не к	1	3
119	связи с	1	3
120	но при	1	3
121	то он	1	3
122	что у	4	3
123	его и	2	3
124	лишь в	1	3
125	через нее	1	3
126	об этом	4	3
127	то или	1	3
128	если он	5	3
129	если не	4	3
130	между ними	1	3
131	для нас	1	3
132	не мог	1	3
133	в виду	1	3
134	в начале	3	3
135	в ее	2	3
136	не так	2	3
137	нет и	2	3
138	это не	7	3
139	и даже	5	3
140	сознания не	1	3
141	во второй	1	3
142	и поэтому	2	3
143	в целом	6	3
144	что оно	1	3
145	с генералом	2	3
146	сказать что	1	3
147	как только	1	3
148	хотя и	4	3
149	из них	2	3
150	в котором	3	3
151	вряд ли	1	3
152	этого слова	1	3
153	в одном	2	3
154	что и	1	3
155	роль в	2	3
156	их в	2	3
157	ответ на	1	3
158	перед нами	1	3
159	приближается к	1	3
160	том что	4	3
161	все эти	4	2
162	но не	5	2
163	будет иметь	1	2
164	в связи	1	2
165	место в	3	2
166	ли не	2	2
167	и ни	1	2
168	нас не	1	2
169	для них	1	2
170	перед ним	1	2
171	человека и	3	2
172	не было	2	2
173	зависит от	2	2
174	связь с	2	2
175	и эту	1	2
176	в жизни	1	2
177	с ней	1	2
178	сих пор	3	2
179	как нечто	1	2
180	и вообще	2	2
181	к которому	2	2
182	у себя	1	2
183	с ним	3	2
184	бы не	2	2
185	в голову	1	2
186	в своей	6	2
187	тот же	1	2
188	и он	2	2
189	человеческой истории	1	2
190	находит свое	1	2
191	или даже	2	2
192	действительной жизни	1	2
193	одной из	3	2
194	из всего	1	2
195	между собой	1	2
196	на вечере	1	2
197	отношение к	1	2
198	для него	3	2
199	на наш	2	2
200	должны были	1	2
201	в том	8	2
202	действительности он	1	2
203	не с	1	2
204	и сам	5	2
205	я считаю	1	2
206	как в	4	2
207	в дальнейшем	4	2
208	теперь же	1	2
209	со всех	1	2
210	в душе	4	2
211	в идеологическом	1	2
212	представляет собой	1	2
213	с этим	1	2
214	с собой	1	2
215	же самая	1	2
216	связано с	1	2
217	и вследствие	1	2
218	тому же	2	2
219	и потому	4	2
220	должно быть	1	2
221	ясно что	1	2
222	тем что	3	2
223	в основе	2	2
224	в середине	1	2
225	не должен	1	2
226	только потому	1	2
227	а к	1	2
228	в этих	1	2
229	жизни своей	1	2
230	вошел в	1	2
231	как уже	1	2
232	человека в	3	2
233	в мире	5	2
234	почему же	1	2
235	нет ничего	3	2
236	человек с	1	2
237	ли он	1	2
238	несмотря на	1	2
239	при всем	1	2
240	в своих	3	2
241	мы как	1	2
242	однако в	1	2
243	сделать его	1	2
244	и нет	1	2
245	в частности	2	2
246	сознании человека	1	2
247	от их	1	2
248	в какой-то	1	2
249	в которых	3	2
250	к этому	3	2
251	должна была	1	2
252	что он	6	2
253	важную роль	1	2
254	такие как	1	2
255	но эта	2	2
256	к миру	2	2
257	слова не	1	2
258	в пределах	1	2
259	чуть ли	1	2
260	этот вопрос	3	2
261	быть может	3	2
262	ни к	2	2
263	в первой	2	2
264	и несколько	1	2
265	развития в	1	2
266	с кем	1	2
267	но это	5	2
268	не есть	1	2
269	столь же	1	1
270	может не	1	1
271	одним из	3	1
272	и диалога	1	1
273	соответствует его	1	1
274	являются как	1	1
275	дальнейшем мы	1	1
276	может и	1	1
277	что однако	1	1
278	в мысли	1	1
279	несравненно более	2	1
