N	3gram	Savitsky_E_1	Problemy
1	то же время	14	10
2	в то же	15	10
3	в отношении к	12	7
4	в пределах одного	1	5
5	в той или	3	4
6	но в то	2	4
7	во всяком случае	3	4
8	и прежде всего	3	4
9	той или иной	4	4
10	друг с другом	3	4
11	в этом смысле	3	3
12	бы то ни	4	3
13	же время не	1	3
14	то ни было	4	3
15	друг к другу	1	3
16	с другой стороны	2	3
17	не может быть	2	3
18	к тому же	1	3
19	смысле этого слова	1	2
20	с точки зрения	16	2
21	и в то	8	2
22	в отличие от	1	2
23	к тому чтобы	2	2
24	можно было бы	3	2
25	или иной степени	1	2
26	и не в	1	2
27	на этот раз	1	2
28	и в этом	4	2
29	и та же	1	2
30	одна и та	1	2
31	так и в	2	2
32	мы можем сказать	2	2
33	в большинстве случаев	2	2
34	в том что	6	2
35	можем сказать что	1	2
36	мы увидим что	1	2
37	именно потому что	1	2
38	как и его	1	1
39	или хотя бы	2	1
40	еще далеко не	1	1
41	почти никогда не	1	1
42	он мог бы	1	1
43	его мысль о	1	1
44	дело в том	1	1
45	и отчасти к	1	1
46	и некоторые из	1	1
47	по другую сторону	1	1
48	в том же	1	1
49	что же касается	1	1
50	о выборе между	1	1
51	в нем и	1	1
52	отметить что эти	1	1
53	но не в	1	1
54	и в этих	1	1
55	то что в	2	1
56	заключает в себе	3	1
57	но и эта	1	1
58	рано или поздно	2	1
59	может быть и	1	1
60	почти на всем	1	1
61	к тому что	1	1
62	в значительной степени	1	1
63	то время как	1	1
64	между тем с	1	1
65	в данном случае	2	1
66	в большей или	1	1
67	или меньшей степени	1	1
68	но как бы	1	1
69	и в отношении	1	1
70	так и для	1	1
71	прежде всего в	2	1
72	мы видели что	1	1
73	это потому что	1	1
74	в то время	1	1
75	мы бы сказали	1	1
76	большей или меньшей	1	1
77	в свою очередь	2	1
78	и того же	1	1
79	все так же	1	1
80	но и для	1	1
81	и в идеологическом	1	1
82	как нам кажется	5	1
83	можно сказать что	3	1
84	как бы ни	3	1
85	одного и того	1	1
86	друг от друга	2	1
87	например в том	1	1
88	как мы видели	2	1
89	для того чтобы	5	1
90	с такими же	1	1
91	нам кажется не	1	1
92	в этом отношении	3	1
