N	2gram	Tiupa_Teor_1	Retstnzi
1	не может	4	4
2	и в	18	3
3	в центре	1	2
4	один из	2	2
5	если в	2	2
6	деятельности в	2	1
7	в иную	1	1
8	целого во	1	1
9	в особенности	1	1
10	художественного целого	4	1
11	и не	13	1
12	тому что	2	1
13	не только	16	1
14	художественного произведения	4	1
15	связи с	1	1
16	точки зрения	9	1
17	на примере	1	1
18	во второй	7	1
19	но и	9	1
20	не менее	4	1
21	в системе	1	1
22	с другими	5	1
23	в то	6	1
24	с точки	3	1
25	и на	1	1
26	вопрос что	1	1
27	для него	2	1
28	мы видим	1	1
29	и больше	2	1
30	о литературе	2	1
31	литературного произведения	7	1
32	ситуации и	1	1
33	сравнении с	1	1
34	на нее	1	1
35	к тому	2	1
36	а не	9	1
37	может быть	17	1
38	при анализе	1	1
39	в его	6	1
40	он в	1	1
41	же время	5	1
42	то же	7	1
43	из этих	3	1
44	можно назвать	1	1
45	если бы	3	1
46	в каждом	1	1
47	бы в	1	1
