N	3gram	Vinokur_Ku_2	Morfolog
1	и т д	14	47
2	в этом случае	2	9
3	в связи с	3	8
4	не может быть	4	8
5	связи с этим	1	5
6	с точки зрения	8	4
7	а также и	1	4
8	с другой стороны	7	4
9	тем не менее	5	4
10	не могут быть	1	3
11	и пр и	1	3
12	на самом деле	2	3
13	но все же	2	3
14	как и в	1	3
15	состоит в том	1	2
16	в настоящее время	1	2
17	в таких случаях	2	2
18	точно так же	3	2
19	мы приходим к	1	2
20	и в других	1	2
21	может быть и	1	2
22	то время как	1	2
23	в иных случаях	1	2
24	с одной стороны	1	2
25	в то время	1	2
26	в большинстве случаев	1	2
27	не значит что	1	2
28	для того чтобы	8	2
29	в том что	10	2
30	т д в	1	2
31	к этому же	1	1
32	хотя и не	1	1
33	же представляет собою	1	1
34	могут рассматриваться как	1	1
35	поставить вопрос о	2	1
36	и пр таким	1	1
37	нужно иметь в	1	1
38	уже не может	3	1
39	т д это	1	1
40	которые хотя и	1	1
41	было бы считать	1	1
42	что иное как	1	1
43	и там где	1	1
44	бы считать вообще	1	1
45	это дает нам	1	1
46	до сих пор	1	1
47	тем что она	1	1
48	том случае если	2	1
49	для этой цели	1	1
50	бы то ни	1	1
51	случаях перед нами	1	1
52	но это не	1	1
53	можно было бы	9	1
54	чаще всего в	1	1
55	одна за другой	1	1
56	на первом месте	1	1
57	в противном случае	1	1
58	в наши дни	1	1
59	не то что	1	1
60	в том случае	2	1
61	должны привести к	1	1
62	как таковая не	1	1
63	в том или	1	1
64	в данном случае	1	1
65	на этот вопрос	2	1
66	теперь может быть	1	1
67	в первый раз	1	1
68	не знает где	1	1
69	т е на	2	1
70	и пр с	1	1
71	иметь в виду	1	1
72	речи т е	1	1
73	пр таким образом	1	1
74	все более и	1	1
75	во всяком случае	5	1
76	мы имеем здесь	1	1
77	вместо того чтобы	1	1
78	потому что они	1	1
79	сюда же относится	1	1
80	есть не что	1	1
81	то же время	3	1
82	вопрос о характере	1	1
83	на ряду с	1	1
84	те или иные	1	1
85	о том что	1	1
86	с самого начала	1	1
87	этом случае он	1	1
88	как это видно	1	1
89	т е не	1	1
90	можно сказать что	2	1
91	они ни были	1	1
92	на то что	2	1
93	в другом случае	1	1
94	то же в	1	1
95	в то же	3	1
96	более и более	1	1
97	к тому что	1	1
98	здесь прежде всего	1	1
99	не что иное	1	1
100	так как во	1	1
101	эти могут быть	1	1
102	дело не в	2	1
103	в сущности к	1	1
