N	3gram	Losev_Vlad_1	Freidism
1	во всяком случае	2	7
2	не может быть	3	7
3	на протяжении всей	1	6
4	в самом деле	1	6
5	в то же	4	4
6	мы знаем что	2	4
7	можно сказать что	2	4
8	как мы уже	3	4
9	то же время	4	4
10	и тот же	2	3
11	одной и той	1	3
12	бы то ни	1	3
13	один и тот	2	3
14	для того чтобы	2	3
15	и той же	1	3
16	но в общем	1	3
17	в свою очередь	1	3
18	с одной стороны	1	2
19	это и есть	1	2
20	на всю жизнь	1	2
21	в таких случаях	1	2
22	что он сам	1	2
23	он не только	2	2
24	но в то	1	2
25	мы уже знаем	1	2
26	то ни было	1	2
27	а с другой	1	2
28	в конце концов	3	2
29	и не может	1	2
30	так и в	1	2
31	в чем не	1	2
32	в этом отношении	1	2
33	ни в чем	1	2
34	для него только	1	2
35	тем не менее	2	2
36	на этом мы	1	2
37	что же касается	4	2
38	о том что	7	1
39	в этой борьбе	1	1
40	ибо не было	1	1
41	жизни так и	1	1
42	том что в	3	1
43	из них не	1	1
44	он не был	1	1
45	и потому его	1	1
46	и без того	1	1
47	так как в	1	1
48	ни в каком	1	1
49	то обстоятельство что	2	1
50	а также и	1	1
51	каком случае не	1	1
52	конце концов и	1	1
53	не только не	1	1
54	и с его	1	1
55	за ними и	1	1
56	мы уже сказали	2	1
57	случае не может	1	1
58	что и в	2	1
59	в этом смысле	4	1
60	уже не может	1	1
61	большую роль в	1	1
62	все что может	1	1
63	в том что	7	1
64	всей его жизни	2	1
65	в то время	2	1
66	и т д	2	1
67	мы не будем	1	1
68	было для него	1	1
69	в котором он	1	1
70	в переводе на	1	1
71	в каком случае	1	1
72	как раз и	2	1
73	что как раз	1	1
74	и ни в	1	1
75	на самом же	1	1
76	в нем мы	1	1
77	все эти сведения	1	1
78	из этой области	1	1
79	через три дня	1	1
80	только с помощью	1	1
81	смысле этого слова	1	1
82	протяжении всей его	1	1
83	но как раз	1	1
84	ответ на это	2	1
85	нам кажется что	1	1
86	и уже в	1	1
87	нет и не	1	1
88	самом же деле	1	1
89	то что он	5	1
90	только то что	1	1
91	он никогда не	1	1
92	что он был	1	1
93	но даже и	2	1
94	критическом отношении к	1	1
95	что можно сказать	1	1
