N	2gram	Losev_Prob_2	KFilosof
1	может быть	18	43
2	в его	7	39
3	в нем	1	31
4	не может	13	27
5	и не	37	26
6	и в	35	22
7	в себе	5	21
8	для меня	5	20
9	не есть	33	19
10	и его	1	17
11	а не	10	17
12	только в	14	16
13	в этом	17	13
14	точки зрения	2	13
15	и это	5	12
16	но не	4	12
17	ни в	6	12
18	все эти	7	11
19	не в	2	11
20	к нему	2	11
21	во всех	2	10
22	в едином	1	10
23	в своем	4	10
24	это не	1	10
25	все это	4	10
26	и есть	4	9
27	в их	3	9
28	в целом	3	9
29	но и	16	9
30	как бы	4	9
31	и для	6	9
32	и все	5	9
33	лишь в	3	8
34	было бы	8	8
35	едином и	1	8
36	если бы	4	8
37	со стороны	1	8
38	не было	3	8
39	то что	38	7
40	и здесь	4	7
41	что и	2	7
42	конечно не	2	7
43	вовсе не	37	7
44	быть только	3	7
45	я не	1	6
46	отношение к	1	6
47	отнюдь не	5	6
48	мира в	1	6
49	он не	2	6
50	не значит	2	6
51	этот момент	1	6
52	и только	4	6
53	и действительно	2	6
54	совершенно не	2	6
55	уже не	8	6
56	и их	3	6
57	но это	6	6
58	в смысле	1	6
59	в том	12	6
60	мы имеем	1	5
61	но как	6	5
62	все же	8	5
63	но в	6	5
64	не только	24	5
65	но ведь	3	5
66	то же	5	5
67	но все	2	5
68	его в	3	5
69	как и	5	5
70	должно быть	2	5
71	от его	2	5
72	но эта	3	5
73	не имеет	7	5
74	никогда не	1	5
75	единое и	1	5
76	для себя	9	5
77	ни одно	1	5
78	с ним	1	5
79	со всем	1	5
80	именно в	1	5
81	в основе	3	5
82	хотя бы	12	5
83	не знает	3	5
84	я могу	3	5
85	при этом	3	4
86	время и	2	4
87	здесь мы	3	4
88	бы быть	1	4
89	входит в	2	4
90	место в	1	4
91	тем самым	7	4
92	к ним	1	4
93	чем не	1	4
94	о нем	2	4
95	в каком	4	4
96	времени и	1	4
97	мира и	1	4
98	между тем	1	4
99	во всей	1	4
100	ни было	1	4
101	в одном	1	4
102	том что	19	4
103	для нас	9	4
104	а в	4	4
105	только как	3	4
106	что в	11	4
107	в своих	3	4
108	самом деле	4	3
109	на самом	4	3
110	должна быть	1	3
111	для которого	1	3
112	и этот	3	3
113	предмета в	2	3
114	мы не	7	3
115	что это	1	3
116	слово не	1	3
117	в ней	2	3
118	еще не	10	3
119	и на	5	3
120	тем как	1	3
121	а следовательно	1	3
122	себе и	2	3
123	нет и	3	3
124	независимо от	2	3
125	бы и	7	3
126	бы не	3	3
127	теории и	3	3
128	всех этих	4	3
129	для того	3	3
130	в корне	2	3
131	всех своих	1	3
132	людей и	1	3
133	в каждом	1	3
134	могла бы	1	3
135	в другом	1	3
136	этом смысле	5	3
137	не должно	1	3
138	не менее	13	3
139	тогда когда	3	3
140	я буду	1	3
141	на язык	1	3
142	ничего не	10	3
143	целом и	1	3
144	в некотором	1	3
145	здесь не	2	3
146	единый и	1	3
147	ясно что	8	3
148	здесь нет	1	3
149	в виду	8	3
150	о том	18	3
151	того или	7	3
152	того что	12	3
153	быть и	2	3
154	и тем	4	3
155	был бы	6	3
156	тем что	4	3
157	от того	1	3
158	что не	5	3
159	до конца	1	3
160	ближе к	1	3
161	в момент	1	3
162	по своему	5	3
163	смысл в	1	3
164	сознания и	2	3
165	лишь как	1	3
166	и ни	3	3
167	только с	2	3
168	своей единственной	1	3
169	не быть	1	3
170	но можно	2	3
171	или иного	5	3
172	в то	6	3
173	чтобы не	2	2
174	мы здесь	3	2
175	и то	10	2
176	принципиально нет	1	2
177	он может	1	2
178	это и	3	2
179	чего не	1	2
180	едва ли	9	2
181	если я	2	2
182	нас важно	1	2
183	вопрос о	3	2
184	а для	1	2
185	ему в	1	2
186	не нужно	3	2
187	и конечно	2	2
188	с его	1	2
189	совсем не	7	2
190	в данном	10	2
191	к которой	1	2
192	или иное	2	2
193	один и	2	2
194	как в	1	2
195	то или	3	2
196	и как	4	2
197	от этого	1	2
198	думать что	1	2
199	ни одна	1	2
200	в этой	9	2
201	нами в	2	2
202	и тот	3	2
203	имеем в	2	2
204	человек не	2	2
205	смысловым содержанием	1	2
206	есть именно	5	2
207	в виде	6	2
208	так и	7	2
209	всех отношениях	1	2
210	смысле в	1	2
211	то ни	3	2
212	не будет	11	2
213	и мы	2	2
214	кажется что	1	2
215	с тем	3	2
216	место и	1	2
217	и само	2	2
218	и того	3	2
219	но я	1	2
220	можно ли	6	2
