N	3gram	Voloshinov_1	VerxiiNi
1	с одной стороны	1	7
2	с точки зрения	20	6
3	во всяком случае	2	6
4	более или менее	1	5
5	в том числе	2	5
6	до сих пор	8	5
7	друг с другом	1	5
8	для того чтобы	3	5
9	том числе и	2	4
10	но все же	3	4
11	так или иначе	1	3
12	в конце концов	3	3
13	так же как	2	3
14	в связи с	7	3
15	тем не менее	2	3
16	в том что	3	3
17	еще только в	1	2
18	то же самое	3	2
19	в этом отношении	3	2
20	с этой точки	1	2
21	может быть и	3	2
22	то ни было	8	2
23	бы то ни	8	2
24	так и от	1	2
25	между этими двумя	2	2
26	таким образом в	1	2
27	то же время	3	2
28	ничего общего с	2	2
29	этой точки зрения	1	2
30	с самого начала	4	2
31	той или иной	1	2
32	можно сказать что	3	2
33	в то же	3	2
34	и в сущности	1	1
35	и того же	5	1
36	а между тем	1	1
37	в широком смысле	1	1
38	что один и	1	1
39	между тем этот	1	1
40	чуть ли не	1	1
41	по отношению к	2	1
42	в самом деле	9	1
43	в настоящее время	6	1
44	одного и того	5	1
45	своей индивидуальности и	1	1
46	а следовательно и	1	1
47	в таком случае	2	1
48	до известной степени	1	1
49	сами по себе	1	1
50	с тем что	1	1
51	совершенно так же	1	1
52	и требует от	1	1
53	целью найти в	1	1
54	найти в нем	1	1
55	может быть по	1	1
56	в первом случае	3	1
57	но в то	2	1
58	ясно что все	1	1
59	смысле этого слова	2	1
60	но при этом	2	1
61	в отличие от	5	1
62	подойти к этой	1	1
63	все более и	1	1
64	в этом направлении	1	1
65	до настоящего времени	5	1
66	с другой стороны	5	1
67	один и тот	3	1
68	о каждом из	1	1
69	а в том	1	1
70	сих пор не	1	1
71	не может быть	13	1
72	так и в	1	1
73	сменяют друг друга	1	1
74	в свою очередь	2	1
75	это и есть	2	1
76	во всех других	1	1
77	не только не	1	1
78	не менее совершенно	1	1
79	более и более	1	1
80	на нее не	1	1
81	и в результате	1	1
82	самом деле если	2	1
83	связи с тем	1	1
84	тем что в	1	1
85	может быть в	1	1
86	с целью найти	1	1
87	и тот же	3	1
