1	то же время	4	7
2	в то же	3	7
3	в этом отношении	1	5
4	к тому же	1	5
5	в данном случае	2	4
6	не говоря уже	2	4
7	в том что	6	4
8	с одной стороны	1	4
9	о том что	4	4
10	говоря уже о	2	3
11	с точки зрения	8	3
12	не может быть	3	3
13	и в частности	2	2
14	но и в	1	2
15	не только в	2	2
16	одной стороны и	1	2
17	и вместе с	1	2
18	обратим внимание на	1	2
19	то же самое	2	2
20	той или иной	1	2
21	в самом деле	3	2
22	бы то ни	1	2
23	с другой стороны	4	2
24	подобно тому как	1	2
25	так или иначе	2	2
26	с тех пор	2	1
27	на первый взгляд	1	1
28	это как раз	1	1
29	может быть в	3	1
30	в силу своей	2	1
31	к тому что	1	1
32	в той или	2	1
33	как будто бы	3	1
34	что иное как	3	1
35	тех пор все	1	1
36	в своей свободе	1	1
37	тогда когда оно	2	1
38	самого по себе	1	1
39	новые и новые	1	1
40	а не только	1	1
41	в себе и	1	1
42	и т п	2	1
43	но при этом	1	1
44	или иную вещь	1	1
45	того же самого	1	1
46	и не только	5	1
47	нас а не	1	1
48	не что иное	3	1
49	тем не менее	2	1
50	в связи с	4	1
51	и при этом	1	1
52	на свете есть	1	1
53	может и не	1	1
54	пространством и временем	1	1
55	а не просто	1	1
56	имеется в виду	2	1
57	сама по себе	7	1
58	что у меня	1	1
59	содержит в себе	3	1
60	вместе с тем	1	1
61	я не могу	1	1
62	одних и тех	1	1
63	одного из них	1	1
64	более или менее	2	1
65	может быть только	2	1
66	как раз в	1	1
67	но уже и	1	1
68	о том как	1	1
69	сказать и о	1	1
70	вопрос о том	1	1
71	на самом деле	1	1
72	ту или иную	1	1
73	мы уже не	1	1
74	и в том	1	1
75	но это не	2	1
76	и то что	1	1
77	субъекта и объекта	4	1
78	что несмотря на	1	1
79	потому что здесь	1	1
80	и тех же	1	1
81	что он с	1	1
82	это не только	1	1
83	все новые и	1	1
84	это и есть	1	1
