N	3gram	Potebnia_M_1	Myshleni
1	для того чтобы	2	14
2	по отношению к	13	12
3	в том что	13	11
4	с точки зрения	3	9
5	так же как	1	7
6	в этом отношении	1	5
7	заключается в том	1	5
8	с самого начала	3	5
9	не в состоянии	1	4
10	подобно тому как	3	4
11	из того что	1	4
12	на этот вопрос	2	4
13	с этой точки	1	4
14	этой точки зрения	1	4
15	в то время	1	4
16	о том что	1	4
17	это значит что	1	4
18	друг от друга	2	4
19	сама по себе	3	4
20	и того же	2	3
21	до сих пор	1	3
22	можно было бы	1	3
23	с одной стороны	3	3
24	в свою очередь	4	3
25	не может быть	9	3
26	не только не	2	3
27	одного и того	2	3
28	вопрос о том	1	3
29	таким образом что	2	2
30	потому что в	4	2
31	так что в	2	2
32	а потому что	2	2
33	таким образом в	1	2
34	то и другое	2	2
35	но при этом	1	2
36	в этой теории	1	2
37	с другой стороны	5	2
38	не иначе как	2	2
39	от того что	1	2
40	свою очередь не	1	2
41	само по себе	4	2
42	но все же	1	2
43	и тем более	1	2
44	как мы видели	1	2
45	мы будем иметь	1	1
46	и связанное с	1	1
47	на нее как	1	1
48	в том виде	1	1
49	и может быть	2	1
50	что иное как	2	1
51	имеет дело с	1	1
52	более или менее	1	1
53	без всяких усилий	1	1
54	слова потому что	1	1
55	происходит но не	1	1
56	на самом деле	1	1
57	как и во	1	1
58	в этом смысле	4	1
59	потому что я	1	1
60	мысли в которой	1	1
61	может быть совершенно	1	1
62	одной стороны и	1	1
63	на основании данных	1	1
64	и в какой	1	1
65	только в том	6	1
66	будет видно из	1	1
67	сам по себе	1	1
68	что не только	2	1
69	в собственном смысле	1	1
70	нам остается только	1	1
71	понятий и их	1	1
72	и той же	3	1
73	не может объяснить	1	1
74	этой деятельности мы	1	1
75	же следует сказать	1	1
76	на вопрос как	1	1
77	остается только сказать	1	1
78	мысль что в	1	1
79	в применении к	2	1
80	и что в	3	1
81	в единстве с	1	1
82	так как во	2	1
83	так же невозможно	1	1
84	не что иное	2	1
85	и не с	1	1
86	не совпадает с	1	1
87	в первом случае	1	1
88	могут быть названы	2	1
89	которые необходимо должны	1	1
90	если скажем что	1	1
91	это было бы	1	1
92	значение только в	1	1
93	смысле этого слова	1	1
94	чем то что	1	1
95	потому что оно	1	1
96	того же в	1	1
97	и потому что	2	1
98	то же следует	1	1
99	психологической точки зрения	1	1
100	не могут быть	2	1
101	к которому мы	1	1
102	это не так	1	1
103	не только для	2	1
104	к этим последним	1	1
105	все более и	2	1
106	и тем самым	1	1
107	в связи с	1	1
108	потому что она	1	1
109	было бы предположить	1	1
110	будет походить на	1	1
111	во всяком случае	1	1
112	так и в	3	1
113	от нее а	1	1
114	внутренней связи с	1	1
115	тем не менее	6	1
116	не было бы	1	1
117	и таким образом	1	1
118	тем и другим	1	1
119	в одном и	2	1
120	между этими двумя	1	1
121	не есть нечто	1	1
122	мы не можем	1	1
123	таким образом мы	1	1
124	том смысле что	1	1
125	не так что	1	1
126	одной точке в	1	1
127	не только потому	1	1
128	из себя создает	1	1
129	точки зрения так	1	1
130	пути развития и	1	1
131	мы думаем что	1	1
132	более и более	2	1
133	не имеют между	1	1
134	следует сказать об	1	1
135	а не на	1	1
136	но и по	1	1
137	как мы видим	1	1
138	они ни были	2	1
139	в мысли в	1	1
140	в то же	3	1
141	к тому что	2	1
142	в том смысле	4	1
143	одной и той	3	1
144	что на деле	1	1
145	жизни таким образом	1	1
146	с отношением к	1	1
147	тех и других	2	1
148	не нуждается в	2	1
149	вместе с этим	1	1
150	и вопрос о	1	1
