N	2gram	Tiupa_Lite_1	PoTuStor
1	может быть	13	17
2	и в	8	16
3	в этом	12	9
4	таким образом	3	9
5	и только	2	9
6	мы можем	1	9
7	прежде всего	11	9
8	и с	1	8
9	точки зрения	6	8
10	и его	4	8
11	не может	5	8
12	совершенно не	1	8
13	с его	5	7
14	не только	24	7
15	в сознание	3	7
16	сказать что	1	7
17	я и	7	6
18	самом деле	2	6
19	при этом	19	6
20	с точки	2	6
21	для него	2	6
22	еще не	4	5
23	в чем	1	5
24	отношение к	1	5
25	все эти	2	5
26	что такое	2	5
27	только для	1	5
28	нуждается в	3	5
29	ту сторону	1	5
30	как бы	7	5
31	на самом	1	4
32	и на	1	4
33	отнюдь не	2	4
34	но в	3	4
35	в этой	4	4
36	в нем	2	4
37	его в	3	4
38	жизни человека	1	4
39	в один	1	4
40	художественного творчества	3	4
41	по ту	1	4
42	самого начала	1	4
43	как мы	1	4
44	с ее	1	4
45	с самого	1	4
46	так и	4	4
47	можно сказать	1	4
48	в его	7	4
49	а потому	2	4
50	только в	8	4
51	для всех	1	4
52	так как	1	4
53	и даже	3	4
54	но и	17	4
55	и не	12	4
56	и все	1	4
57	хотя бы	2	4
58	все что	1	4
59	если б	1	3
60	тех же	3	3
61	едва ли	1	3
62	во всех	1	3
63	в общем	1	3
64	и есть	3	3
65	и как	1	3
66	и художественного	1	3
67	с их	3	3
68	на две	1	3
69	и вот	1	3
70	на этом	2	3
71	том что	14	3
72	во время	1	3
73	сих пор	1	3
74	в одном	1	3
75	по крайней	1	3
76	в основе	3	3
77	до сих	1	3
78	к себе	3	3
79	в конечном	5	3
80	крайней мере	1	3
81	в том	16	3
82	в большинстве	1	3
83	только на	2	3
84	большинстве случаев	1	3
85	мы знаем	1	3
86	всяком случае	2	3
87	в области	3	3
88	и др	3	3
89	вместе с	1	3
90	как это	8	3
91	быть это	3	3
92	могут быть	2	3
93	что в	3	3
94	в этих	1	3
95	а в	3	3
96	то что	10	3
97	между ними	1	3
98	только как	1	3
99	жизни и	3	3
100	во всяком	3	3
101	ту же	2	2
102	же как	1	2
