N	2gram	Propp_Russ_2	KulturaY
1	и т	5	54
2	т е	24	32
3	и в	29	23
4	в том	22	22
5	не только	10	17
6	в этом	11	16
7	было бы	3	16
8	может быть	13	14
9	в самом	1	13
10	что в	22	13
11	не менее	2	12
12	потому что	5	12
13	для того	6	12
14	вопрос о	4	11
15	том что	22	11
16	того чтобы	6	11
17	можно было	2	11
18	в его	1	11
19	того что	3	11
20	а не	4	11
21	можно говорить	1	10
22	у нас	4	10
23	и не	1	10
24	еще не	6	9
25	таким образом	6	9
26	тем не	2	9
27	так как	13	9
28	прежде всего	2	9
29	т д	5	8
30	если бы	1	8
31	в виду	2	8
32	уже не	4	8
33	как на	1	8
34	как это	4	7
35	все эти	3	7
36	должно быть	2	7
37	того как	2	7
38	и что	5	7
39	с другой	2	7
40	в данном	6	7
41	сказать что	1	7
42	то же	4	6
43	говорить о	1	6
44	только в	1	6
45	так и	1	6
46	при этом	6	6
47	с тем	6	6
48	в их	2	6
49	ничего не	1	6
50	связи с	2	6
51	не может	5	6
52	могут быть	2	6
53	о том	9	6
54	после того	2	6
55	что и	2	6
56	тот же	1	6
57	что он	1	6
58	для этого	5	6
59	и есть	1	5
60	как мы	3	5
61	независимо от	1	5
62	все же	2	5
63	хотя и	1	5
64	из этих	2	5
65	как бы	18	5
66	что она	3	5
67	как и	11	5
68	не в	4	5
69	тем что	3	5
70	далеко не	4	5
71	на которых	1	5
72	не будем	3	5
73	тем более	1	5
74	но это	1	5
75	а в	9	5
76	совершенно не	2	5
77	как в	7	4
78	в своем	1	4
79	только тогда	3	4
80	этого слова	1	4
81	в своей	2	4
82	не столько	2	4
83	которые в	1	4
84	том чтобы	2	4
85	тогда когда	4	4
86	о них	2	4
87	учения о	1	4
88	как раз	1	4
89	и о	3	4
90	в ее	3	4
91	данном случае	7	4
92	для нас	6	4
93	а также	4	4
94	между тем	3	4
95	один из	2	4
96	с одной	2	4
97	не было	2	4
98	одной стороны	2	4
99	этом случае	6	4
100	то что	5	4
101	только как	2	4
102	в таком	4	4
103	е как	1	3
104	на самом	2	3
105	это и	2	3
106	мы не	6	3
107	в ней	1	3
108	но не	5	3
109	очевидно что	2	3
110	отношение к	1	3
111	отнюдь не	1	3
112	что именно	1	3
113	что это	3	3
114	тому же	1	3
115	но на	1	3
116	в первую	1	3
117	и с	10	3
118	с этой	2	3
119	мы видели	7	3
