N	3gram	Losev_Vlad_1	VrazhdaK
1	то же время	4	4
2	в то же	4	4
3	в вестнике европы	1	4
4	в связи с	1	3
5	он не только	2	2
6	в ноябре года	1	2
7	в эти годы	3	2
8	в те годы	3	2
9	в письме к	8	2
10	и что в	1	2
11	как раз в	1	2
12	но в то	1	2
13	в году в	2	2
14	в году и	2	2
15	в этот момент	1	2
16	не может быть	3	2
17	и о том	1	2
18	в том что	7	2
19	года и в	1	1
20	м м стасюлевичу	2	1
21	он был очень	1	1
22	а следовательно и	1	1
23	да и в	1	1
24	никогда не переставал	1	1
25	в марте года	1	1
26	н к михайловского	2	1
27	в котором он	1	1
28	же время и	1	1
29	в этом смысле	4	1
30	в ответ на	2	1
31	в том же	1	1
32	в сентябре года	1	1
33	письме к в	1	1
34	тем более что	2	1
35	на первый план	2	1
36	полной уверенности что	1	1
37	и не может	1	1
38	уже марта года	1	1
39	и во многом	1	1
40	первое заграничное путешествие	1	1
41	в этом отношении	1	1
42	в полной уверенности	1	1
43	и это было	1	1
44	через год в	1	1
45	но это не	1	1
46	к себе на	1	1
47	и то что	4	1
48	и в то	2	1
49	одно и то	1	1
50	но в этот	1	1
51	в это время	1	1
52	и стал на	1	1
53	ответ на это	2	1
54	в конце концов	3	1
55	и то же	1	1
56	и в этом	1	1
57	а с другой	1	1
58	он писал я	1	1
59	того же года	4	1
60	что он сам	1	1
61	что никто из	1	1
62	во всяком случае	2	1
63	что у него	2	1
64	с другой стороны	3	1
65	о нем в	1	1
66	тем не менее	2	1
67	в россию его	1	1
68	то он оказался	1	1
69	что как раз	1	1
70	у него в	1	1
71	заключается в том	1	1
72	в то время	2	1
73	в свою очередь	1	1
74	это и есть	1	1
75	о том что	7	1
76	и никогда не	1	1
77	не только не	1	1
78	на этот раз	4	1
79	на то что	4	1
80	лет от роду	1	1
81	же письме к	1	1
82	в конце жизни	1	1
83	что уже в	1	1
84	что для нас	1	1
85	в петербурге и	1	1
86	том же письме	1	1
87	же время с	1	1
